trial,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy,true_positives
138,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
139,0.7801204819277109,0.6794889038332212,0.30301257677683535,0.9453592814371258,0.39016318612347367,0.729804692880466,1036
140,0.786144578313253,0.6805648957632818,0.30535244223457153,0.9468562874251497,0.39016318612347367,0.7333547370382674,1044
141,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
142,0.7853915662650602,0.6804303967720242,0.3050599590523545,0.9466691616766467,0.39016318612347367,0.7329109815185422,1043
143,0.7884036144578314,0.6809683927370545,0.30622989178122256,0.9474176646706587,0.39016318612347367,0.734686003597443,1047
144,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
145,0.7853915662650602,0.6804303967720242,0.3050599590523545,0.9466691616766467,0.39016318612347367,0.7329109815185422,1043
146,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
147,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
148,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
149,0.7868975903614458,0.6806993947545393,0.30564492541678856,0.9470434131736527,0.39016318612347367,0.7337984925579926,1045
150,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
151,0.7808734939759037,0.6796234028244789,0.3033050599590524,0.9455464071856288,0.39016318612347367,0.7302484484001912,1037
152,0.7808734939759037,0.6796234028244789,0.3033050599590524,0.9455464071856288,0.39016318612347367,0.7302484484001912,1037
153,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
154,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
155,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
156,0.7816265060240963,0.6797579018157364,0.30359754314126935,0.9457335329341318,0.39016318612347367,0.7306922039199164,1038
157,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
158,0.7778614457831325,0.6790854068594485,0.30213512723018426,0.9447979041916168,0.39016318612347367,0.7284734263212905,1033
159,0.7816265060240963,0.6797579018157364,0.30359754314126935,0.9457335329341318,0.39016318612347367,0.7306922039199164,1038
160,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
161,0.7831325301204819,0.6800268997982515,0.3041825095057034,0.9461077844311377,0.39016318612347367,0.7315797149593667,1040
162,0.7876506024096386,0.680833893745797,0.30593740859900553,0.9472305389221557,0.39016318612347367,0.7342422480777178,1046
163,0.7876506024096386,0.680833893745797,0.30593740859900553,0.9472305389221557,0.39016318612347367,0.7342422480777178,1046
