condition,true_class,replicate,population_size,hard_accuracy,coverage,selective_accuracy,evidence_sufficient
measurement_noise_0.975,measurement_noise,94,100,0.99,0.86,1.0,True
measurement_noise_0.975,measurement_noise,95,100,0.97,0.9,1.0,True
measurement_noise_0.975,measurement_noise,96,100,0.97,0.91,1.0,True
measurement_noise_0.975,measurement_noise,97,100,0.98,0.88,1.0,True
measurement_noise_0.975,measurement_noise,98,100,0.98,0.96,0.9895833333333334,True
measurement_noise_0.975,measurement_noise,99,100,0.98,0.9,1.0,True
process_disturbance_2.60,process_disturbance,0,100,0.89,0.77,0.987012987012987,False
process_disturbance_2.60,process_disturbance,1,100,0.83,0.8,0.9375,False
process_disturbance_2.60,process_disturbance,2,100,0.86,0.83,0.9759036144578314,False
process_disturbance_2.60,process_disturbance,3,100,0.87,0.79,0.9367088607594937,False
process_disturbance_2.60,process_disturbance,4,100,0.86,0.82,0.9634146341463414,False
process_disturbance_2.60,process_disturbance,5,100,0.94,0.92,1.0,True
process_disturbance_2.60,process_disturbance,6,100,0.86,0.8,0.9875,False
process_disturbance_2.60,process_disturbance,7,100,0.94,0.89,0.9887640449438202,True
process_disturbance_2.60,process_disturbance,8,100,0.89,0.83,0.9759036144578314,False
process_disturbance_2.60,process_disturbance,9,100,0.89,0.81,0.9629629629629629,False
process_disturbance_2.60,process_disturbance,10,100,0.84,0.83,0.963855421686747,False
process_disturbance_2.60,process_disturbance,11,100,0.93,0.87,0.9885057471264368,True
process_disturbance_2.60,process_disturbance,12,100,0.86,0.82,0.975609756097561,False
process_disturbance_2.60,process_disturbance,13,100,0.86,0.81,0.9629629629629629,False
process_disturbance_2.60,process_disturbance,14,100,0.87,0.84,0.9880952380952381,False
process_disturbance_2.60,process_disturbance,15,100,0.87,0.82,0.926829268292683,False
process_disturbance_2.60,process_disturbance,16,100,0.91,0.83,0.9759036144578314,True
process_disturbance_2.60,process_disturbance,17,100,0.95,0.88,1.0,True
process_disturbance_2.60,process_disturbance,18,100,0.88,0.78,1.0,False
process_disturbance_2.60,process_disturbance,19,100,0.93,0.92,0.967391304347826,True
process_disturbance_2.60,process_disturbance,20,100,0.81,0.68,0.9852941176470589,False
process_disturbance_2.60,process_disturbance,21,100,0.9,0.84,0.9761904761904762,True
process_disturbance_2.60,process_disturbance,22,100,0.8,0.77,0.922077922077922,False
process_disturbance_2.60,process_disturbance,23,100,0.91,0.77,0.974025974025974,False
