condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient
process_disturbance_2.25,process_disturbance,1012,True,0.7972911697966969,2.375379927379535,1.7979189413046743,-0.011783766112843708,0.30912921446647373,11.956076220601679,1,0.5517068851427953,0.07000878478945691,0.0001247057085869141,0.050983231316162794,False
process_disturbance_2.25,process_disturbance,1013,True,2.0273689694465498,3.7974650758745887,1.8086994542483354,-0.8286346836591422,0.192274639807376,25.248285659412993,2,0.6045906424536337,0.42851975553029054,0.0014532051241904487,0.04468377411789231,False
process_disturbance_2.25,process_disturbance,1014,True,0.8605290405286203,2.3961926003864953,1.8836481796697537,0.532236285006225,0.4932942751715146,17.039418474819378,2,0.34300548761223393,-0.06396281548888416,0.0038121527448309322,0.06913202981895801,False
process_disturbance_2.25,process_disturbance,1015,False,0.26410130263856435,1.3992887109212944,1.3016881522192119,0.5354922955035032,0.6065681816852191,7.656006673379401,2,0.7040887532866934,0.3448516741974165,0.0026791966665976608,0.05568072270810858,False
process_disturbance_2.25,process_disturbance,1016,True,6.646651945972019,12.366505671391222,5.8922828602527035,0.08568837460363032,0.09748518017218936,56.39251835592496,1,0.6880278277600964,0.25113518468278717,0.0043900181204556965,0.043431409980467454,False
process_disturbance_2.25,process_disturbance,1017,False,0.24370734079881884,0.6596532035015816,1.0931473606159754,0.1258639038518229,0.5110176830766362,8.132872709409767,2,0.270067281561858,0.11623982521241889,0.003021606307497149,0.06197609354734528,False
process_disturbance_2.25,process_disturbance,1018,True,0.4437168297896217,0.7914264898025365,0.9891816708293739,-0.23619519066109418,0.45156204109957043,15.121654571620503,1,0.38254140327888275,-0.1334862998881973,0.0010630271945788472,0.044115129784855975,False
process_disturbance_2.25,process_disturbance,1019,False,0.20894464982108968,0.30758319138665097,1.0126116313593831,0.3798155943855155,0.6555843188616994,10.162373959874108,4,-0.4730373990751969,-0.633787962630817,-0.0006451508143524576,0.06266868300183039,False
process_disturbance_2.25,process_disturbance,1020,True,0.3338699664654705,0.9524458664613566,1.0900542664190151,-0.020935651183800252,0.45239547695652943,14.074805997607434,1,0.2930766500148814,0.0760706376510158,0.002990767834754937,0.054366537211369456,False
process_disturbance_2.25,process_disturbance,1021,True,0.3904274965231833,1.662032859185143,1.5988329384789517,0.11602673149137543,0.39217602837753074,11.185384946961863,4,0.24423530997912526,0.2433061152862864,-0.005877326462882859,0.05400459832464416,False
process_disturbance_2.25,process_disturbance,1022,True,0.30404356534885046,0.6999443712510156,0.8447636373192284,-0.03864326365038029,0.4801349402838321,13.301000989330825,2,0.23280645549741646,-0.2202684800775642,-0.0040800698586604955,0.05701820952373819,False
process_disturbance_2.25,process_disturbance,1023,True,0.4184809636902488,0.8616223877910899,0.7806814920863019,-0.2518893113914571,0.44286194600019424,13.229245463324615,2,0.24664278199753722,0.14234252308966072,0.004883389034015639,0.053608240804407174,False
process_disturbance_2.25,process_disturbance,1024,True,0.3238466269088578,1.2624491314219262,1.2583242411554996,0.3326252348592732,0.557780929484986,14.31742266340591,2,0.4836047002219205,0.3305949970998746,0.0009775156643185845,0.05224379961375715,False
process_disturbance_2.25,process_disturbance,1025,False,0.08617638135138694,0.48875007174042717,0.4746406688407623,0.22638308145675556,0.8360104477385619,8.202207550268392,3,0.40871064604528046,0.295115979483904,0.0003266837020804436,0.07015108553901611,False
process_disturbance_2.25,process_disturbance,1026,True,3.915673770240451,7.566448835263182,3.7905153994983136,0.05196327574423121,0.17267978944251008,36.73103817571878,2,0.7024194125814873,0.19959600291009472,0.0036639603463513026,0.047884046237708,False
process_disturbance_2.25,process_disturbance,1027,True,0.862914802330728,2.2176319445360555,1.605958247616198,-0.015097043851900471,0.3387898254176381,14.999454587497343,1,0.3710883993174676,0.32576685748940326,0.0017706818848799433,0.05321115632655131,False
process_disturbance_2.25,process_disturbance,1028,True,1.6962775248293922,3.794056569235657,2.2358737426750293,0.5066936918720528,0.35289852758260876,21.581026030322036,3,0.8743578230926592,0.3783716494340625,-0.0009232854776972665,0.055163964003013516,False
process_disturbance_2.25,process_disturbance,1029,False,0.060115770646159916,0.3741684148746762,0.19809876652103298,-0.12398808056752775,0.7641383839817416,6.236301407248397,2,0.30828489586422947,0.32141843191306396,-0.0006940096574923338,0.06650115852871163,False
process_disturbance_2.25,process_disturbance,1030,True,1.851396136590835,3.6301285000427503,2.135443643571767,0.08111711985515169,0.35957815598891685,24.517004950548152,3,0.4676115105425049,0.1397096872866092,-0.0003965589823219373,0.07019383380454337,False
process_disturbance_2.25,process_disturbance,1031,False,0.4766443236856992,0.5651869449917144,-0.4254559540541414,-0.8394517748763545,0.5988397124710967,5.89139377435085,1,-0.10584257758489873,-0.17100033347489865,0.00018417895276667817,0.043299736772018246,False
process_disturbance_2.25,process_disturbance,1032,True,0.14147907480608302,1.0380506483140428,1.295192719710757,0.179935352565889,0.41875404571839114,9.071519078284785,1,0.24512833544891222,-0.06543963388713811,0.0009321530482750973,0.04753234088449477,False
process_disturbance_2.25,process_disturbance,1033,True,1.2559827452812415,3.645882982746585,2.4785142547842507,0.6725746045601941,0.3760395418967427,16.025413328120106,4,0.5490788934769808,-0.1354246125009348,0.003601870381959249,0.06960536393809637,False
process_disturbance_2.25,process_disturbance,1034,False,0.23252991629276965,1.486014219914535,1.4007419242364372,0.7377696931012462,0.644764389341432,6.906516386649828,2,0.6652113920018804,0.2980263649213653,-0.00160499684184634,0.0754004707870306,False
process_disturbance_2.25,process_disturbance,1035,True,0.5226961337623298,1.5031891289375672,1.3979917297666424,0.35463197478840336,0.5314025580515425,16.759079954695842,3,0.13918105357169985,-0.40671926227661115,-0.004575259822806266,0.06920854698160991,False
