regime,seed,pre_parameter_mean,event_parameter_mean,post_parameter_mean,parameter_shift_event_vs_pre,parameter_shift_post_vs_pre,final_parameter_estimate,event_mean_abs_parameter_update,post_mean_abs_parameter_update,event_cumulative_abs_parameter_update,post_cumulative_abs_parameter_update,event_mean_lambda,post_mean_lambda,event_mean_effective_q,post_mean_effective_q,event_mean_nis,post_mean_nis
process_disturbance,60,0.9194349384916108,0.9397481673519968,0.9209551253987244,0.020313228860386,0.0015201869071135299,0.9208242371263733,0.0053893173069251244,0.002859279808747063,0.05389317306925124,0.05718559617494126,0.17049180002476827,0.11714263626163905,0.49415782406345093,0.08018037948178323,3.192513238855603,0.9631357612514441
process_disturbance,61,0.921945552332031,0.935868652775796,0.9224070675440239,0.01392310044376499,0.00046151521199289114,0.9249273694201322,0.005518458704071717,0.002842882425966385,0.05518458704071717,0.05685764851932771,0.1777545956532297,0.12305665624399394,0.43152680613134475,0.058068522828289004,2.911105607522517,0.8883318433943173
process_disturbance,62,0.9269435420731846,0.933405287489366,0.9193833838179714,0.006461745416181386,-0.0075601582552132784,0.9201892078153463,0.004827833486477025,0.00231272996531421,0.048278334864770234,0.04625459930628421,0.1537267916534848,0.10586876650361898,0.3498146442485653,0.0659497147182563,2.4706842271120624,0.6589041964352277
process_disturbance,63,0.921128317044924,0.9356228720042015,0.9193932890372417,0.014494554959277428,-0.0017350280076823266,0.9195455080294087,0.004571675099964942,0.0022989605535732325,0.04571675099964942,0.04597921107146465,0.15318933705824325,0.09221461206826634,0.32315533345652275,0.049083015822993604,2.2228473472357035,0.7387800088870042
process_disturbance,64,0.9164909308031287,0.9368314479414852,0.9198665043970264,0.020340517138356495,0.0033755735938977294,0.9222000436135048,0.005187407768681877,0.0023425726315708163,0.05187407768681876,0.046851452631416324,0.17046577133894228,0.11727309502537825,0.40676017678949333,0.051685285914201275,2.602216540671231,0.6834714696585378
process_disturbance,65,0.9231437941885196,0.9332551188626992,0.9201299845535709,0.010111324674179634,-0.003013809634948683,0.9266975876253686,0.0037855837783615227,0.0037865619181038607,0.03785583778361524,0.07573123836207722,0.15203969369790418,0.13791645106152906,0.27291057589703893,0.11591872397230599,1.8063265214095414,1.308857533713441
process_disturbance,66,0.9219381298453267,0.9432265928358284,0.9225028023245021,0.02128846299050169,0.0005646724791753543,0.9261183664560679,0.005566393202322931,0.0032451028071586647,0.05566393202322932,0.06490205614317328,0.15662934880357776,0.13559820441877274,0.5710221566634306,0.13096117547011704,3.59233655120713,1.3620289884607049
process_disturbance,67,0.917530042673488,0.9448507059476884,0.9228955478106309,0.027320663274200352,0.005365505137142845,0.9155551102177695,0.0064330317523133415,0.0022493379793360672,0.06433031752313341,0.044986759586721346,0.1734842181415091,0.08991278662285368,0.8429852224169679,0.029775845373242012,4.8928259871884245,0.6265651851077388
process_disturbance,68,0.9229945576637998,0.9419045975227536,0.9196291254392923,0.018910039858953787,-0.0033654322245074697,0.922120036234864,0.00532057012470276,0.003424179046794008,0.0532057012470276,0.06848358093588017,0.16034796532114437,0.12019936486278611,0.27086848328586205,0.09315436406917565,2.259381227729088,1.1924552357507028
process_disturbance,69,0.9209267385518433,0.9354704224317385,0.917933942967015,0.014543683879895242,-0.002992795584828234,0.9146769288831242,0.003920766875321646,0.0025488967711126543,0.03920766875321646,0.050977935422253075,0.15840922542703653,0.09798436683827043,0.2757996546697665,0.030396691280817522,1.8045426140862093,0.6893579798486423
process_disturbance,70,0.9209508562155193,0.9332093955849515,0.9203508501106825,0.01225853936943222,-0.0006000061048367922,0.9220526849107418,0.005339056575640652,0.002208381564260162,0.05339056575640652,0.04416763128520325,0.15444036220346247,0.08425658174856791,0.3279428265917176,0.03447494782272506,2.4439279151771682,0.5754490150606673
process_disturbance,71,0.917535639738587,0.9478677819536673,0.9199444572192256,0.030332142215080293,0.002408817480638592,0.9178185294676023,0.0073990561368635745,0.00352294201701938,0.07399056136863576,0.07045884034038762,0.17960944652671662,0.12554000961473288,1.0546937910522531,0.11061404010518432,6.134510798405122,1.2105125695756795
process_disturbance,72,0.9226435326250483,0.9395213475872815,0.9185654605907769,0.016877814962233173,-0.004078072034271352,0.9183705700323153,0.005016177024838945,0.003174251747269738,0.050161770248389456,0.06348503494539477,0.15089679458250088,0.1309797840891236,0.35571044659660567,0.1058672981597572,2.70912003916236,1.0532220554381173
process_disturbance,73,0.9189844793334316,0.9381211209724718,0.9194234527132521,0.019136641639040164,0.00043897337982046203,0.9170460020862494,0.00567702748229169,0.0031221095843292973,0.056770274822916904,0.06244219168658595,0.16705050694058213,0.12053108614277268,0.40499997843781826,0.05270752167377002,2.916319773881355,0.924878526813012
process_disturbance,74,0.9203234090477457,0.9417619217132325,0.9221410161554877,0.021438512665486797,0.0018176071077420364,0.9166402085403227,0.0053572591524699495,0.00349662783837417,0.053572591524699495,0.06993255676748339,0.16299672661780154,0.1256755119053586,0.5453654667373876,0.07009095648863999,3.479132973307435,1.1095312752890285
process_disturbance,75,0.9169758505445682,0.9400385714643411,0.9234528837830056,0.023062720919772906,0.006477033238437402,0.9179185926784434,0.006496284573466704,0.003826946468863177,0.06496284573466704,0.07653892937726355,0.16682578999459113,0.1325914119234589,0.7968676933429587,0.17730924318395203,4.800462467947912,1.6282782759879195
process_disturbance,76,0.9199668647635522,0.941392846566857,0.9220497812400391,0.021425981803304794,0.0020829164764869512,0.9186341591498711,0.004835873198447249,0.0023085826531340924,0.0483587319844725,0.04617165306268185,0.15285977607879825,0.10423859323092566,0.5147843826456439,0.06815568870095333,3.145376403058133,0.7280510960374796
process_disturbance,77,0.9219852343208023,0.946320760525711,0.92216795413466,0.024335526204908753,0.00018271981385775682,0.9094172397687187,0.0050433591205562385,0.004838883863627536,0.05043359120556238,0.09677767727255075,0.1724485447657656,0.15168592590518176,0.7376243596826766,0.1647380402795033,4.461588228372114,1.57237986364493
process_disturbance,78,0.9185577083682082,0.938118847423691,0.9218777736894485,0.019561139055482846,0.0033200653212402953,0.9177900446509677,0.006748443155340418,0.0031342068660804292,0.06748443155340418,0.06268413732160859,0.16740393627692285,0.12517401840064063,0.7581674751440239,0.0523958121437123,4.66815974542965,0.9490151186451025
process_disturbance,79,0.9185504211942623,0.9369862758483245,0.9205200863830394,0.018435854654062167,0.001969665188777059,0.9286493972011252,0.006231833990759807,0.0030135325312219013,0.06231833990759805,0.06027065062443802,0.1776058959573356,0.12478498157445536,0.7314615567044432,0.09417312071732774,4.326594765381227,1.0570478667864345
process_disturbance,80,0.9209998593307952,0.9374143846771062,0.9221506661245549,0.01641452534631105,0.0011508067937596733,0.914084348176912,0.007039339099818892,0.003555641372697131,0.07039339099818892,0.07111282745394262,0.17919970269059607,0.1547781465410068,0.4659559478547633,0.16358037625761476,3.441429867338878,1.4261423071940886
process_disturbance,81,0.919637993223625,0.9467513063429323,0.9259250839878023,0.027113313119307203,0.006287090764177217,0.916988715248471,0.006602288807511828,0.003724264159707019,0.06602288807511827,0.07448528319414038,0.18001247025435094,0.1425450678685997,1.1228808883315025,0.11366004166612786,6.320900891662292,1.2778481737352387
