condition,true_class,run_index,evidence_time,scheme,candidate_exists,benefit_probability,release_probability,predicted_release,selected_persistence,persistence_distance_1,persistence_distance_2,persistence_distance_3,adopted_event_memory,release_evidence_run,release_count,transition_count,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,100,70,adaptive_persistence,True,0.5221848970650401,0.7517108063661255,True,,,,,False,0,0,0,0.22130464717875403,0.7616107935506617,0.05978831007964755,0.0013046471787540315,0.0383892064493383,0.00021168992035244805,0.013301847849481593
measurement_noise_0.850,measurement_noise,100,80,adaptive_persistence,True,0.4732808904843318,0.717031039804055,True,,,,,False,0,0,0,0.2203818214460025,0.7695911461262537,0.059928191503552546,0.00038182144600248935,0.030408853873746367,7.180849644745219e-05,0.010287494605398769
measurement_noise_0.850,measurement_noise,100,100,adaptive_persistence,True,0.4450407335129041,0.6075424233228308,True,,,,,False,0,0,0,0.21958093040965174,0.7722531996732225,0.05975529858290838,0.0004190695903482644,0.027746800326777565,0.00024470141709161813,0.00947019044473915
measurement_noise_0.850,measurement_noise,101,60,fixed_1,True,0.2388611214411275,0.7935402907646075,True,1,,,,False,0,0,0,0.21452929160574893,0.7213923006840379,0.057419379228726745,0.005470708394251067,0.07860769931596212,0.0025806207712732523,0.028886342827162147
measurement_noise_0.850,measurement_noise,101,70,fixed_1,True,0.2418858747150662,0.6916711933473906,True,1,,,,False,0,0,0,0.21709801295787912,0.7343997202374547,0.05954311515136775,0.002901987042120885,0.06560027976254534,0.0004568848486322455,0.022986383884432825
measurement_noise_0.850,measurement_noise,101,80,fixed_1,True,0.34300317967399396,0.7832613732657646,True,1,,,,False,0,0,0,0.2163482017774828,0.74508145423534,0.05820842915509848,0.0036517982225172108,0.05491854576466004,0.001791570844901516,0.02012063827735959
measurement_noise_0.850,measurement_noise,101,100,fixed_1,True,0.4124682586845932,0.6223701042776444,True,1,,,,False,0,0,0,0.2189270111644212,0.7625869245594437,0.059957239784373034,0.0010729888355787975,0.03741307544055639,4.276021562696353e-05,0.012842941497254049
measurement_noise_0.850,measurement_noise,101,60,fixed_2,True,0.2388611214411275,0.7935402907646075,True,2,,,,False,0,0,0,0.21452929160574893,0.7213923006840379,0.057419379228726745,0.005470708394251067,0.07860769931596212,0.0025806207712732523,0.028886342827162147
measurement_noise_0.850,measurement_noise,101,70,fixed_2,True,0.2418858747150662,0.6916711933473906,True,2,,,,False,0,0,0,0.21709801295787912,0.7343997202374547,0.05954311515136775,0.002901987042120885,0.06560027976254534,0.0004568848486322455,0.022986383884432825
measurement_noise_0.850,measurement_noise,101,80,fixed_2,True,0.34300317967399396,0.7832613732657646,True,2,,,,False,0,0,0,0.2163482017774828,0.74508145423534,0.05820842915509848,0.0036517982225172108,0.05491854576466004,0.001791570844901516,0.02012063827735959
measurement_noise_0.850,measurement_noise,101,100,fixed_2,True,0.4124682586845932,0.6223701042776444,True,2,,,,False,0,0,0,0.2189270111644212,0.7625869245594437,0.059957239784373034,0.0010729888355787975,0.03741307544055639,4.276021562696353e-05,0.012842941497254049
measurement_noise_0.850,measurement_noise,101,60,fixed_3,True,0.2388611214411275,0.7935402907646075,True,3,,,,False,0,0,0,0.21452929160574893,0.7213923006840379,0.057419379228726745,0.005470708394251067,0.07860769931596212,0.0025806207712732523,0.028886342827162147
measurement_noise_0.850,measurement_noise,101,70,fixed_3,True,0.2418858747150662,0.6916711933473906,True,3,,,,False,0,0,0,0.21709801295787912,0.7343997202374547,0.05954311515136775,0.002901987042120885,0.06560027976254534,0.0004568848486322455,0.022986383884432825
measurement_noise_0.850,measurement_noise,101,80,fixed_3,True,0.34300317967399396,0.7832613732657646,True,3,,,,False,0,0,0,0.2163482017774828,0.74508145423534,0.05820842915509848,0.0036517982225172108,0.05491854576466004,0.001791570844901516,0.02012063827735959
measurement_noise_0.850,measurement_noise,101,100,fixed_3,True,0.4124682586845932,0.6223701042776444,True,3,,,,False,0,0,0,0.2189270111644212,0.7625869245594437,0.059957239784373034,0.0010729888355787975,0.03741307544055639,4.276021562696353e-05,0.012842941497254049
measurement_noise_0.850,measurement_noise,101,60,adaptive_persistence,True,0.2388611214411275,0.7935402907646075,True,,,,,False,0,0,0,0.21452929160574893,0.7213923006840379,0.057419379228726745,0.005470708394251067,0.07860769931596212,0.0025806207712732523,0.028886342827162147
measurement_noise_0.850,measurement_noise,101,70,adaptive_persistence,True,0.2418858747150662,0.6916711933473906,True,,,,,False,0,0,0,0.21709801295787912,0.7343997202374547,0.05954311515136775,0.002901987042120885,0.06560027976254534,0.0004568848486322455,0.022986383884432825
measurement_noise_0.850,measurement_noise,101,80,adaptive_persistence,True,0.34300317967399396,0.7832613732657646,True,,,,,False,0,0,0,0.2163482017774828,0.74508145423534,0.05820842915509848,0.0036517982225172108,0.05491854576466004,0.001791570844901516,0.02012063827735959
