condition,true_class,seed,policy,classification_correct,classification_margin,failure_mode,adaptation_scale,uncertainty_scale,abstain,incorrect_commitment_cost,unnecessary_abstention_cost,adaptation_exposure,uncertainty_cost,severe_failure_penalty,total_policy_cost
measurement_noise_boundary,measurement_noise,34050,generic_uncertainty,True,0.6411130797995568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34050,failure_aware,True,0.6411130797995568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34051,baseline,True,0.5562991275286475,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34051,generic_uncertainty,True,0.5562991275286475,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34051,failure_aware,True,0.5562991275286475,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34052,baseline,True,0.28103784229588613,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34052,generic_uncertainty,True,0.28103784229588613,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34052,failure_aware,True,0.28103784229588613,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34053,baseline,True,0.060840535267393414,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34053,generic_uncertainty,True,0.060840535267393414,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34053,failure_aware,True,0.060840535267393414,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34054,baseline,True,0.6928861751826239,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34054,generic_uncertainty,True,0.6928861751826239,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34054,failure_aware,True,0.6928861751826239,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34055,baseline,True,0.5086730005086813,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34055,generic_uncertainty,True,0.5086730005086813,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34055,failure_aware,True,0.5086730005086813,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34056,baseline,True,0.7249156668576708,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
