policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,safe_action_recall,safe_action_precision,responsive_action_retention,expansion_contexts,beneficial_expansions,harmful_expansions,neutral_expansions,generation_seed,veto_count,harmful_vetoed,beneficial_vetoed,harmful_veto_recall,beneficial_preservation
hierarchical_guard,0.48936170212765956,0.14890353623489425,0.02144402702342553,0.0,0.13150053378364956,0.6276595744680851,0.35106382978723405,34,14,46,0.5177713144642354,0.8297872340425532,0.07446808510638298,0.973404255319149,0.950354609929078,0.9680851063829787,4,0,1,3,44045,0,0,0,0.0,1.0
support_baseline,0.5416666666666666,0.1405000377008035,0.019367292495822516,0.0,0.1305785868941815,0.6458333333333334,0.3333333333333333,33,11,52,0.39421579098644255,0.875,0.052083333333333336,0.984375,0.953125,0.9791666666666666,1,0,0,1,44046,0,0,0,0.0,1.0
state_guard_0.50,0.53125,0.1405000377008035,0.019367292495822516,0.0,0.1305785868941815,0.6458333333333334,0.3333333333333333,33,12,51,0.3755871506213514,0.875,0.052083333333333336,0.984375,0.9583333333333334,0.9791666666666666,0,0,0,0,44046,1,0,0,0.0,1.0
hierarchical_guard,0.53125,0.1405000377008035,0.019367292495822516,0.0,0.1305785868941815,0.6458333333333334,0.3333333333333333,33,12,51,0.3755871506213514,0.875,0.052083333333333336,0.984375,0.9583333333333334,0.9791666666666666,0,0,0,0,44046,1,0,0,0.0,1.0
support_baseline,0.5604395604395604,0.13718064183179735,0.017575286978014155,0.0,0.1307095498807227,0.6813186813186813,0.2967032967032967,28,12,51,0.4944345038073661,0.8351648351648352,0.04395604395604396,0.9835164835164835,0.9945054945054945,0.967032967032967,0,0,0,0,44047,0,0,0,0.0,1.0
state_guard_0.50,0.5604395604395604,0.13718064183179735,0.017575286978014155,0.0,0.1307095498807227,0.6813186813186813,0.2967032967032967,28,12,51,0.4944345038073661,0.8351648351648352,0.04395604395604396,0.9835164835164835,0.9945054945054945,0.967032967032967,0,0,0,0,44047,0,0,0,0.0,1.0
hierarchical_guard,0.5604395604395604,0.13718064183179735,0.017575286978014155,0.0,0.1307095498807227,0.6813186813186813,0.2967032967032967,28,12,51,0.4944345038073661,0.8351648351648352,0.04395604395604396,0.9835164835164835,0.9945054945054945,0.967032967032967,0,0,0,0,44047,0,0,0,0.0,1.0
support_baseline,0.5274725274725275,0.1477131908031329,0.018600456726489665,0.0,0.1331439938577117,0.6263736263736264,0.3076923076923077,33,10,48,0.4878527713892913,0.8461538461538461,0.02197802197802198,0.989010989010989,0.978021978021978,0.989010989010989,2,1,0,1,44048,0,0,0,0.0,1.0
state_guard_0.50,0.5274725274725275,0.1477131908031329,0.018600456726489665,0.0,0.1331439938577117,0.6263736263736264,0.3076923076923077,33,10,48,0.4878527713892913,0.8461538461538461,0.02197802197802198,0.989010989010989,0.978021978021978,0.989010989010989,2,1,0,1,44048,0,0,0,0.0,1.0
hierarchical_guard,0.5274725274725275,0.1477131908031329,0.018600456726489665,0.0,0.1331439938577117,0.6263736263736264,0.3076923076923077,33,10,48,0.4878527713892913,0.8461538461538461,0.02197802197802198,0.989010989010989,0.978021978021978,0.989010989010989,2,1,0,1,44048,0,0,0,0.0,1.0
