block,generation_seed,test_index,predicted_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_spread,true_loss_k1,true_loss_k2,true_loss_k3,true_best_loss,true_loss_spread,true_best_action,true_responsive_action,true_safe_action_count,primary_safe_action_count,support_safe_action_count,primary_action,support_action,primary_regret,support_regret,support_under,support_over,support_distance_k1,support_distance_k2,support_distance_k3,support_distance_selected,safety_score_selected,downside_score_selected,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
block_086,44029,47,0.02189436250519477,0.13779284396960323,0.15487455048756993,0.16085433320802303,0.023061489238419802,0.07019780342542307,0.07019780342542307,0.07019780342542307,0.07019780342542307,0.0,1,1,2,1,1,3,3,0.0,0.0,0,1,1.8379551858592156,1.8379551858592156,1.8379551858592156,1.8379551858592156,0.942583333333333,0.0,0.7117850595067992,0.2289310422786743,34.0,4.969481799948674,0.9963117225837289,0.09904994058449842,0.9222754053978945
block_086,44029,48,0.02500735136790697,0.10254348579498432,0.10408343570553573,0.13299686865888352,0.030453382863899203,0.03627231662886279,0.03627231662886279,0.03627231662886279,0.03627231662886279,0.0,1,1,2,1,1,2,2,0.0,0.0,0,1,1.9511351788982094,1.9511351788982094,1.9511351788982094,1.9511351788982094,0.7317609126984129,0.002555546341176193,0.6644463678127791,0.45601628785495474,54.0,4.969481799948674,0.7776189367653781,0.06869742111987757,0.9124482293939533
block_086,44029,49,0.02727704067668841,0.17971376673079031,0.19709107389441674,0.19055520146859406,0.017377307163626426,0.13769774420613437,0.13769774420613437,0.13769774420613437,0.13769774420613437,0.0,1,1,2,1,1,3,3,0.0,0.0,0,1,1.8544527217839373,1.8544527217839373,1.8544527217839373,1.8544527217839373,0.9270148809523812,0.0,0.8320176786288558,0.21442585294324187,9.0,4.560355657254428,0.9808563135308641,0.6473552865114514,0.9193659029449621
block_086,44029,50,0.01603544421967848,0.19692865927872943,0.21913575876001332,0.23671877176184833,0.039790112483118895,0.07448500420763235,0.07448500420763235,0.07448500420763235,0.07448500420763235,0.0,1,1,1,1,2,1,1,0.0,0.0,0,0,1.8073484891342098,1.8073484891342098,1.8073484891342098,1.8073484891342098,0.4279375,0.021806230695538834,0.7551084110037546,0.2502269876056996,19.0,4.560355657254428,0.8641295026461938,0.0006321828969838392,0.9228336626039181
block_086,44029,51,0.017251183369924723,0.09843008078264527,0.14649105704254012,0.1739595444843216,0.07552946370167633,0.030813067614506424,0.030813067614506424,0.030813067614506424,0.030813067614506424,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,2.0098774154445307,2.0098774154445307,2.0098774154445307,2.0098774154445307,0.9522083333333333,0.0005124576256180108,0.6688365165016208,0.4549570834661288,39.0,4.560355657254428,0.57907553571351,0.2960889628364405,0.9164983673149463
block_086,44029,52,0.02577350440184362,0.20129411075963385,0.20533227211819194,0.19568829773511576,0.009643974383076181,0.1700982071406346,0.1700982071406346,0.1700982071406346,0.1700982071406346,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,1.7602544404822709,1.7602544404822709,1.7602544404822709,1.7602544404822709,0.9649107142857144,0.0,0.8259618841621427,0.21476711140575094,8.0,5.602146552174002,0.982423012248462,0.48339738853582687,0.9198232329644309
block_086,44029,53,0.024076948675043834,0.2284913114093663,0.22332046166055017,0.2303278924539261,0.0070074307933759294,0.11324110757918948,0.11324110757918948,0.11324110757918948,0.11324110757918948,0.0,1,2,2,2,2,2,2,0.0,0.0,0,1,1.581162080677086,1.581162080677086,1.581162080677086,1.581162080677086,0.6782410714285717,0.00013504558151312284,0.7962186826422514,0.21028282494849565,18.0,5.602146552174002,0.8775631039329937,0.4383510551207277,0.9215055618057413
block_086,44029,54,0.02055448110270385,0.10314352648767014,0.14747199643041486,0.18333830354529626,0.08019477705762612,0.05702974360196585,0.05702974360196585,0.05702974360196585,0.05702974360196585,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,2.059945431749875,2.059945431749875,2.059945431749875,2.059945431749875,0.9637916666666668,0.00032865286287435543,0.6883016702178711,0.40446413646388785,38.0,5.602146552174002,0.6227379113942703,0.29606457385768226,0.9141477131239919
block_086,44029,55,0.026138539029675553,0.1894124508849939,0.1834521558887069,0.18804393807133798,0.005960294996287002,0.18815035746064931,0.18815035746064931,0.18815035746064931,0.18815035746064931,0.0,1,2,2,1,2,3,2,0.0,0.0,0,1,1.761349086956256,1.761349086956256,1.761349086956256,1.761349086956256,0.9016622023809524,2.4253917746725613e-05,0.7849723707487495,0.21348820013160766,10.0,10.79649297110075,1.0250217730869877,0.0582428845495889,0.9197006355662157
block_086,44029,56,0.008352229398913329,0.2207197707914307,0.23785730846691844,0.24406000955651805,0.02334023876508734,0.13215320773717448,0.13215320773717448,0.13215320773717448,0.13215320773717448,0.0,1,1,1,1,2,1,1,0.0,0.0,0,0,1.9347133415517939,1.9347133415517939,1.9347133415517939,1.9347133415517939,0.5108333333333334,0.014325170184045458,0.7846211207509238,0.1993571479959752,20.0,10.79649297110075,0.8748619811133934,0.2990751967996582,0.924256754574418
block_086,44029,57,0.016926378868798195,0.060387598952114055,0.10762671201270799,0.15174610950955914,0.09135851055744508,0.07082508610485158,0.07082508610485158,0.07082508610485158,0.07082508610485158,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,1.9947357399764947,1.9947357399764947,1.9947357399764947,1.9947357399764947,0.9245416666666665,0.00578151125017566,0.6758637186092573,0.39952975517018063,40.0,10.79649297110075,0.5936269395125273,0.09015088490054679,0.9193327218548346
block_086,44029,58,0.012370548615444546,0.2995156182276313,0.31339032623315954,0.36734152242764084,0.06782590420000956,0.18380752593506433,0.18380752593506433,0.18380752593506433,0.18380752593506433,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,3.724246130242139,3.724246130242139,3.724246130242139,3.724246130242139,0.6047847222222225,0.008939767938569298,0.6769598052005215,0.39309872319030603,7.0,14.705577450410473,0.7850338042126431,2.8476204982781286,0.9150566238105151
