trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
221,164,4,217,10.620494866629736
222,164,8,217,10.620494866629736
223,164,9,217,10.620494866629736
224,164,5,217,10.620494866629736
225,164,6,217,10.620494866629736
226,164,5,217,10.620494866629736
227,164,8,217,10.620494866629736
228,164,9,217,10.620494866629736
229,164,9,217,10.620494866629736
230,164,7,217,10.620494866629736
231,164,4,217,10.620494866629736
232,164,4,217,10.620494866629736
233,164,8,217,10.620494866629736
234,164,4,217,10.620494866629736
235,164,9,217,10.620494866629736
236,164,4,217,10.620494866629736
237,164,7,217,10.620494866629736
238,164,4,217,10.620494866629736
239,164,6,217,10.620494866629736
240,164,9,217,10.620494866629736
241,164,11,217,10.620494866629736
242,164,1,217,10.620494866629736
243,164,4,217,10.620494866629736
244,164,6,217,10.620494866629736
245,164,9,217,10.620494866629736
246,164,6,217,10.620494866629736
247,164,7,217,10.620494866629736
248,164,5,217,10.620494866629736
249,164,9,217,10.620494866629736
250,164,4,217,10.620494866629736
251,164,6,217,10.620494866629736
252,164,11,217,10.620494866629736
253,164,8,217,10.620494866629736
254,164,7,217,10.620494866629736
255,164,8,217,10.620494866629736
256,164,10,217,10.620494866629736
257,164,9,217,10.620494866629736
258,164,9,217,10.620494866629736
259,164,9,217,10.620494866629736
260,164,8,217,10.620494866629736
261,164,3,217,10.620494866629736
262,164,7,217,10.620494866629736
263,164,8,217,10.620494866629736
264,164,4,217,10.620494866629736
265,164,8,217,10.620494866629736
266,164,13,217,10.620494866629736
267,164,8,217,10.620494866629736
268,164,2,217,10.620494866629736
269,164,7,217,10.620494866629736
270,164,7,217,10.620494866629736
271,164,9,217,10.620494866629736
272,164,11,217,10.620494866629736
273,164,6,217,10.620494866629736
274,164,5,217,10.620494866629736
275,164,9,217,10.620494866629736
276,164,8,217,10.620494866629736
277,164,5,217,10.620494866629736
278,164,5,217,10.620494866629736
279,164,5,217,10.620494866629736
280,164,6,217,10.620494866629736
281,164,6,217,10.620494866629736
282,164,4,217,10.620494866629736
283,164,5,217,10.620494866629736
284,164,10,217,10.620494866629736
285,164,6,217,10.620494866629736
286,164,10,217,10.620494866629736
287,164,7,217,10.620494866629736
288,164,5,217,10.620494866629736
289,164,2,217,10.620494866629736
290,164,9,217,10.620494866629736
291,164,5,217,10.620494866629736
292,164,6,217,10.620494866629736
293,164,5,217,10.620494866629736
294,164,3,217,10.620494866629736
295,164,2,217,10.620494866629736
296,164,5,217,10.620494866629736
297,164,7,217,10.620494866629736
298,164,9,217,10.620494866629736
299,164,5,217,10.620494866629736
300,164,5,217,10.620494866629736
301,164,6,217,10.620494866629736
302,164,8,217,10.620494866629736
303,164,10,217,10.620494866629736
304,164,9,217,10.620494866629736
305,164,3,217,10.620494866629736
