trial,unsafe_selected,total_regret
943,723,40.17926185160459
944,742,42.24295189689006
945,743,41.34780125274956
946,737,42.10145925651008
947,736,41.487424529296014
948,707,40.673200491357846
949,722,41.23085619131747
950,702,40.29294229516202
951,725,41.039701540880145
952,736,43.117176765898655
953,740,41.698147602885726
954,718,40.529512375834365
955,696,39.70121311737404
956,730,41.4653715852127
957,745,43.03434654628504
958,737,41.894950426263975
959,740,42.298876735056524
960,735,41.81281231571294
961,726,40.91657627474138
962,721,40.023224683692604
963,742,43.206016681798765
964,716,40.72841164636692
965,744,42.08048088015233
966,717,40.99964903663591
967,712,40.30424655835424
968,746,41.79600193314631
969,738,42.55862098551856
970,743,42.274140020066234
971,721,41.5032464556668
972,712,39.08307649260069
973,747,43.02976551472639
974,733,42.159698924538255
975,715,41.09850961925745
976,720,41.09025981565675
977,722,41.33507455168902
978,723,40.90232777653421
979,714,41.02717035680036
980,710,39.936736907387726
981,694,38.87065150248751
982,731,42.707188566829316
983,732,40.77457383341841
984,736,41.90406568114004
985,733,41.76750253296771
986,685,38.44751508525198
987,727,40.75436918143217
988,706,41.0124814973301
989,730,41.866466480767166
990,750,41.92104770482443
991,733,41.29699945529426
992,721,40.17901578333653
993,701,39.90757459163271
994,729,41.573581617185155
995,727,41.520007689466446
996,733,41.41261837544641
997,728,40.95640176474804
998,706,39.04610542658443
999,740,42.58273180517295
1000,728,42.77170844444165
1001,730,41.40634938404855
1002,708,40.150188498473625
1003,703,40.04196576172571
1004,721,40.939926111686
1005,754,42.93721910824816
1006,730,41.86790185102728
1007,726,41.468737417776886
1008,734,41.3283635047038
1009,721,40.88593647673945
1010,688,39.167539599893935
1011,730,41.67225449251757
1012,753,42.15586273577891
1013,718,40.82160848343922
1014,714,40.17765200519895
1015,706,40.15751432553403
1016,720,41.52903216555649
1017,709,40.71562247778937
1018,720,41.136349551478574
1019,733,42.14361422210891
1020,735,41.668514536535454
1021,718,41.34290179431952
1022,732,41.21846369025831
1023,714,40.247022553870686
1024,721,40.86263266231434
1025,727,40.33847145175599
1026,760,43.345261785114005
1027,711,39.20166218831453
1028,732,41.389265581557325
1029,746,42.336421365878486
1030,748,43.07259999781956
1031,721,41.04009520155777
1032,739,42.18773394387448
1033,715,40.976395035023856
1034,709,39.66438907805441
1035,747,43.200451146930185
1036,721,41.224140529016225
1037,757,42.38063686954627
1038,754,42.93506809182749
1039,710,39.61921468868646
1040,727,40.5248234695856
1041,729,41.45648286592139
1042,749,42.9808127079394
1043,718,41.21164777682622
1044,709,39.288572583618894
1045,722,41.10403976933279
1046,719,40.483129807243444
1047,716,39.518449228403384
1048,724,40.46339396619164
1049,718,40.833298523406135
1050,738,41.57581024274661
1051,747,42.40612827151021
1052,694,38.87577560470173
1053,713,40.86403425731712
1054,723,40.76490537281682
1055,744,41.56652400200326
1056,709,40.41428078804222
1057,718,40.50608264545446
1058,761,42.46442658973324
1059,712,40.03162733268017
1060,719,41.40959485676703
1061,748,41.938577835145935
1062,726,41.48000359642494
1063,702,40.45418786142401
1064,740,42.40762418267658
1065,772,44.25389802977104
1066,736,42.154959027696236
1067,700,39.36184616703694
1068,735,41.92363605119727
1069,730,41.21040363854452
1070,749,42.07236986971365
1071,698,39.84876497451827
1072,736,41.94409849838313
1073,723,42.518438516046395
1074,725,41.667305066349485
1075,715,40.06618851664296
1076,740,42.19180715013212
1077,725,41.21793710194355
1078,732,41.483090093985254
1079,746,42.55084466362827
1080,726,41.58879950032557
1081,760,43.41035009000829
1082,746,41.34398735816488
