population,generation_seed,test_index,action,action2_indicator,harmful_target,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
population_071_110,44081,40,2,1,0,1.4237104674898025,1.6051881393912573,0.1814776719014548,0.15996173275238548,0.0
population_071_110,44081,44,1,0,0,1.6751939153458497,1.8182680723530211,0.1430741570071714,0.10918714081084856,0.0
population_071_110,44081,59,1,0,0,1.5029352294795422,1.940996830045227,0.43806160056568477,0.11715169502135156,0.0
population_071_110,44082,26,1,0,1,1.8560868447148475,2.633331456550463,0.7772446118356153,0.1291070148005214,0.004628107812383084
population_071_110,44084,14,2,1,0,1.1017746804329103,1.996344517882052,0.8945698374491418,0.20150098832006275,0.0
population_071_110,44084,15,1,0,0,1.288044767953998,1.5337107616204326,0.2456659936664347,0.1492061535847183,0.0
population_071_110,44084,18,1,0,0,1.3425343177413809,1.4774437890728556,0.13490947133147468,0.17986052051243073,0.0
population_071_110,44084,24,2,1,0,1.1803268760621788,1.7653598527127365,0.5850329766505578,0.25521044464343373,0.0
population_071_110,44084,26,2,1,0,1.3276139913695766,1.404425442140354,0.07681145077077733,0.17619617247585342,0.0
population_071_110,44084,29,1,0,0,1.2329808289255595,1.4411759564997817,0.2081951275742222,0.18167942265294226,0.0
population_071_110,44085,3,1,0,0,1.1229390971549842,1.7374906514509227,0.6145515542959386,0.13017220961631593,0.0
population_071_110,44085,20,2,1,0,1.1882226870292274,1.5546129230348869,0.36639023600565945,0.15943613198407683,0.0
population_071_110,44085,26,2,1,0,1.5045592732125157,1.782326684595177,0.27776741138266137,0.19478387491872237,0.0
population_071_110,44085,32,2,1,0,1.0275786600739527,1.5183394492115503,0.4907607891375976,0.16500064724651647,0.0
population_071_110,44087,0,1,0,0,1.5388634908625956,1.8947877147935834,0.3559242239309879,0.11188584159878391,0.0
population_071_110,44087,2,1,0,0,0.9765740855454883,1.288753702510458,0.31217961696496976,0.15119395923654896,0.0
population_071_110,44087,18,1,0,0,0.931771919288936,1.7506383799763203,0.8188664606873843,0.1362152272339735,0.00035679409315603205
population_071_110,44087,44,2,1,0,1.2620669762144776,1.983155736063702,0.7210887598492244,0.11262538521367339,0.0018692405515061822
population_071_110,44094,32,2,1,0,1.245473494969686,2.001336971955701,0.7558634769860151,0.1740847705661803,0.0
population_071_110,44095,13,2,1,0,1.1445880686413505,1.8692112219087567,0.7246231532674061,0.15132731867184565,0.0
population_071_110,44095,19,2,1,0,1.4571224586477132,1.9276015979209475,0.47047913927323437,0.10323460534581053,0.0
population_071_110,44095,25,2,1,0,1.6792991298753723,2.4764162374093126,0.7971171075339403,0.15978249196348127,0.0010763371727819937
population_071_110,44095,29,2,1,0,1.6275596959988938,1.9742470527341627,0.34668735673526885,0.13850414818021775,0.0
population_071_110,44095,33,2,1,0,1.5821044685917602,2.040578836179178,0.45847436758741766,0.1285281033575394,0.0
population_071_110,44095,48,2,1,0,1.497539566087467,1.8963142310687293,0.39877466498126224,0.1195804919609403,0.0
population_071_110,44096,20,1,0,0,1.9978956215301618,2.8588525411000907,0.8609569195699289,0.10390128756209825,0.0
population_071_110,44096,22,1,0,1,2.0600107553968274,2.4228609680489077,0.3628502126520803,0.18945303023305818,0.0
population_071_110,44097,18,2,1,0,2.1851251827852094,2.65786050693931,0.4727353241541006,0.19457324947730384,0.006018538925397887
population_071_110,44097,22,1,0,1,1.7255262266175972,2.592455773395727,0.86692954677813,0.13788336446865274,0.0
population_071_110,44098,6,2,1,0,1.569767530931013,1.8789843745698551,0.30921684363884205,0.15222127014866932,0.0
population_071_110,44098,31,2,1,0,1.4242359633463166,2.1111013133912744,0.6868653500449577,0.15097729620963335,0.0030862973573090036
population_071_110,44099,0,2,1,0,1.1448980263112358,1.8219867714836302,0.6770887451723944,0.14018191537849137,0.0
population_071_110,44099,4,2,1,0,2.0069505623648225,2.3072037001624865,0.30025313779766405,0.1653211879719513,0.0
population_071_110,44100,49,2,1,0,1.5237029846806704,1.746648972058669,0.22294598737799864,0.12779859430285323,0.003933630518195744
population_071_110,44101,5,1,0,1,1.3221307833873626,1.9143381942277304,0.5922074108403679,0.10681091701336692,0.0
population_071_110,44103,3,2,1,0,1.1677329647529766,1.7263754837047398,0.5586425189517632,0.16427564182034649,0.0028269603759975837
population_071_110,44103,4,1,0,1,1.3023483523954378,1.6079530998797176,0.3056047474842798,0.11359633335503082,0.0
population_071_110,44103,33,1,0,0,1.9654423413298652,2.000552501307966,0.03511015997810096,0.12332866759484036,0.0
population_071_110,44104,1,1,0,1,1.30292092698362,1.6705755498447232,0.3676546228611033,0.11266766323057441,0.0
population_071_110,44104,12,2,1,0,1.723723456878803,2.3176058337658243,0.5938823768870214,0.1784010418445338,0.0
population_071_110,44104,43,2,1,0,1.5895954814499387,2.325137634334458,0.7355421528845194,0.11683407403708605,0.0
population_071_110,44104,52,1,0,0,1.5065195712927095,2.0912509903479704,0.5847314190552608,0.12018730330927525,0.0
population_071_110,44105,8,2,1,0,1.5811185717243719,2.0913551935768515,0.5102366218524796,0.18625678867122347,0.0
