policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
two_stage_1.00,0.0641025641025641,0.14404210978517568,0.004255230499072625,0.0,0.1216644178619012,0.8461538461538461,0.10256410256410256,4,69,5,0.5332027822380375,0.8076923076923077,0.6923076923076923,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,1
fixed_k3,0.038461538461538464,0.14062374263398109,0.0008368633478780387,0.0,0.014341837558109694,0.8974358974358975,0.05128205128205128,0,75,3,0.0,1.0,0.7948717948717948,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,0
oracle,1.0,0.13978687928610306,0.0,0.0,0.0,1.0,0.0,0,0,78,0.7512360600214941,0.5256410256410257,0.6923076923076923,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,0
direct_loss,0.22784810126582278,0.158461369355492,0.016535459102053136,0.0,0.12520902003732098,0.7088607594936709,0.27848101265822783,18,43,18,0.9927360459472108,0.379746835443038,0.0,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,1
fixed_risk_0.010,0.11392405063291139,0.15031552405997475,0.008389613806535906,0.0,0.12520902003732093,0.810126582278481,0.17721518987341772,9,61,9,0.6923208667338777,0.7341772151898734,0.5063291139240507,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,1
two_stage_0.10,0.189873417721519,0.1561921862842803,0.014266276030841438,0.0,0.12520902003732098,0.7341772151898734,0.25316455696202533,16,48,15,0.9813395285436476,0.43037974683544306,0.1518987341772152,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,1
two_stage_0.25,0.1518987341772152,0.15227898955165664,0.01035307929821778,0.0,0.12520902003732093,0.7848101265822784,0.20253164556962025,11,56,12,0.8570830906606618,0.6075949367088608,0.3670886075949367,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,1
two_stage_1.00,0.10126582278481013,0.14566234366997993,0.0037364334165410646,0.0,0.12520902003732093,0.8860759493670886,0.10126582278481013,3,68,8,0.39404540017134826,0.8860759493670886,0.6329113924050633,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,1
fixed_k3,0.0759493670886076,0.14338418850135956,0.0014582782479206937,0.0,0.03641606979630063,0.8987341772151899,0.08860759493670886,0,73,6,0.0,1.0,0.7215189873417721,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,0
oracle,1.0,0.14192591025343887,0.0,0.0,0.0,1.0,0.0,0,0,79,0.7773136163400156,0.620253164556962,0.7721518987341772,3,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f,262,183,79,0
