population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_001_010,44002,7,1,0,0,0.7811956998313856,0.4165083204821286,10.0,4.912692563952169,1.0907345477350994,0.0867064058143898,0.9243235030267924,0.04369657813032087,0.0005378236535335462,0.008045970432224419,0.0075081467786908725,
population_001_010,44002,11,2,1,0,0.675387911154316,0.5206388512662593,32.0,8.148622816496854,0.7423967050897616,0.03732684545589215,0.9243381068176053,0.05690535516229232,0.0,0.0006616313475015282,0.0006616313475015282,
population_001_010,44002,40,1,0,0,0.7605099574731168,0.36561828770763455,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,0.045543101125860005,6.4665988735182085e-06,0.0005152008855429907,0.0005087342866694725,
population_001_010,44002,65,2,1,0,0.6387815815221553,0.5880449495434769,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294,0.03521671201315114,0.00014459291689593345,0.0009480136577017373,0.0008034207408058039,
population_001_010,44003,3,2,1,0,0.6728523502424479,0.41467615278011705,30.0,4.912692563952169,0.8968154843212621,0.39183085443051147,0.9243225843361633,0.030104222504136767,0.0008407540505611864,0.008866569038312455,0.008025814987751269,
population_001_010,44003,8,2,1,0,0.6862654088188727,0.41736575391291636,30.0,5.09200706575872,0.8301000588488668,0.046034465889978185,0.9201791612646568,0.03134539374213381,0.000502459693186143,0.004439522616297747,0.0039370629231116035,
population_001_010,44003,18,2,1,1,0.6286170306612898,0.5492790655749819,26.0,6.8876662802456226,0.813262581437948,0.41252322618521464,0.9214295048444798,0.02340496636269675,0.00024263003882303227,0.001904212768742899,0.0016615827299198667,
population_001_010,44003,19,2,1,1,0.5922399044251382,0.5997130720043393,36.0,6.8876662802456226,0.6940328175021409,0.03200640575261031,0.91960918301864,0.025600738768138228,0.0008446147049197467,0.0018084914108549104,0.0009638767059351636,
population_001_010,44003,36,2,1,0,0.6680140798262727,0.4187728741812497,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,0.027280138843395165,0.0,0.0005178381821702519,0.0005178381821702519,
population_001_010,44003,37,1,0,1,0.6318831724919813,0.406783921967389,5.0,6.520510802879969,1.535201204366009,0.061870846002411245,0.916537342730825,0.02545959046772081,0.005542525333783695,0.012094483223440665,0.00655195788965697,
population_001_010,44003,43,2,1,1,0.564955018793059,0.6439061213077013,35.0,4.768788219378924,0.7183724140051255,0.565179884572725,0.923620540762804,0.023961962382952576,0.00170506608839587,0.002921480872787372,0.0012164147843915021,
population_001_010,44003,53,2,1,0,0.5511537064554838,0.6630030260621778,45.0,7.045171433748348,0.4890386037862158,0.3327439467095681,0.9224154399139832,0.03175041216393267,0.002130800560499898,0.006162069210529083,0.004031268650029184,
population_001_010,44003,59,2,1,0,0.642980276134398,0.5184786111394774,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294,0.02454518472562763,0.0009590937824775693,0.0033177828520514043,0.002358689069573835,
population_001_010,44004,4,2,1,0,0.6757017831981998,0.47695458264595125,30.0,4.912692563952169,0.8968154843212621,0.39183085443051147,0.9243225843361633,0.03520169007340748,3.966707364925856e-05,0.006559189955680654,0.006519522882031396,
population_001_010,44004,7,2,1,0,0.6832248493824817,0.5043355496965872,32.0,8.148622816496854,0.7423967050897616,0.03732684545589215,0.9243381068176053,0.05163742995530712,1.5292809607905407e-05,0.008948898006079752,0.008933605196471846,
population_001_010,44004,8,1,0,1,0.7029581083714989,0.3820205755288852,20.0,5.09200706575872,1.0338854872651193,0.04331431148233018,0.9202543015684178,0.0366718240623487,0.00016941569304478523,0.0007741704373957895,0.0006047547443510043,
