test_index,outcome,primary_actions,expanded_actions,true_safe_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,selected_safety_mean,selected_safety_std,selected_downside_mean,selected_downside_std,selected_realized_regret,safety_lcb_k_0.00,downside_ucb_k_0.00,safety_lcb_k_0.25,downside_ucb_k_0.25,safety_lcb_k_0.50,downside_ucb_k_0.50,safety_lcb_k_0.75,downside_ucb_k_0.75,safety_lcb_k_1.00,downside_ucb_k_1.00,safety_lcb_k_1.25,downside_ucb_k_1.25,safety_lcb_k_1.50,downside_ucb_k_1.50,safety_lcb_k_2.00,downside_ucb_k_2.00
48,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.8936577380952381,0.25638814716450603,0.005197061602340276,0.01845886101304597,0.0,0.8936577380952381,0.005197061602340276,0.8295607013041115,0.009811776855601768,0.7654636645129851,0.014426492108863261,0.7013666277218585,0.01904120736212475,0.637269590930732,0.023655922615386245,0.5731725541396056,0.02827063786864774,0.509075517348479,0.03288535312190923,0.380881443766226,0.04211478362843222
49,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.8534583333333333,0.32663772990458745,0.006221364149157478,0.018180777769842053,0.0,0.8534583333333333,0.006221364149157478,0.7717989008571865,0.010766558591617991,0.6901394683810396,0.015311753034078505,0.6084800359048927,0.019856947476539016,0.5268206034287459,0.02440214191899953,0.445161170952599,0.028947336361460047,0.3635017384764522,0.03349253080392056,0.20018287352415842,0.042582919688841585
50,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.8846644483988234,0.2890630973862859,0.0,0.0,0.0,0.8846644483988234,0.0,0.812398674052252,0.0,0.7401328997056804,0.0,0.667867125359109,0.0,0.5956013510125375,0.0,0.5233355766659661,0.0,0.4510698023193946,0.0,0.30653825362625164,0.0
51,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.8577648809523809,0.2964681604701392,0.007100812206768685,0.01960224605224359,0.0,0.8577648809523809,0.007100812206768685,0.7836478408348461,0.012001373719829584,0.7095308007173113,0.01690193523289048,0.6354137605997765,0.02180249674595138,0.5612967204822417,0.02670305825901228,0.48717968036470694,0.031603619772073176,0.4130626402471721,0.03650418128513407,0.26482856001210253,0.04630530431125587
52,neutral,3,3,1|3,3,3,1,0.0,0.0,0.0,0.7475069895382396,0.38399591286938034,7.347583788843164e-05,0.0011805146832730134,0.0,0.7475069895382396,7.347583788843164e-05,0.6515080113208945,0.000368604508706685,0.5555090331035494,0.0006637331795249383,0.45951005488620433,0.0009588618503431917,0.36351107666885923,0.0012539905211614451,0.26751209845151414,0.0015491191919796985,0.1715131202341691,0.0018442478627979518,-0.020484836200521106,0.0024345052044344585
53,neutral,1|3,1|3,1|3,1,1,1,0.0,0.0,0.0,0.7118095238095238,0.41448305986626255,0.01850226483754073,0.02784981485293168,0.0,0.7118095238095238,0.01850226483754073,0.6081887588429582,0.02546471855077365,0.5045679938763925,0.03242717226400657,0.40094722890982687,0.03938962597723949,0.29732646394326123,0.046352079690472406,0.19370569897669554,0.05331453340370533,0.09008493401012996,0.06027698711693825,-0.11715659592300132,0.07420189454340409
54,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.8460446428571429,0.3257306151785731,0.0,0.0,0.0,0.8460446428571429,0.0,0.7646119890624996,0.0,0.6831793352678563,0.0,0.6017466814732131,0.0,0.5203140276785698,0.0,0.4388813738839265,0.0,0.3574487200892832,0.0,0.19458341249999667,0.0
55,neutral,3,3,1|3,3,3,1,0.0,0.0,0.0,0.9254099025974026,0.22850920071595515,0.00016764635200797903,0.0017360924041418867,0.0,0.9254099025974026,0.00016764635200797903,0.8682826024184138,0.0006016694530434507,0.8111553022394251,0.0010356925540789224,0.7540280020604363,0.001469715655114394,0.6969007018814475,0.0019037387561498657,0.6397734017024587,0.0023377618571853377,0.5826461015234699,0.0027717849582208094,0.46839150116549233,0.0036398311602917526
56,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.711217540425261,0.4130954259540213,0.0029025627055316843,0.005323822575575591,0.0,0.711217540425261,0.0029025627055316843,0.6079436839367557,0.004233518349425583,0.5046698274482503,0.00556447399331948,0.401395970959745,0.006895429637213377,0.29812211447123965,0.008226385281107276,0.1948482579827343,0.009557340925001174,0.09157440149422902,0.01088829656889507,-0.11497331148278167,0.013550207856682867
57,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.7833823131525337,0.38437518805446597,0.0028709785764228085,0.00534624961670547,0.0,0.7833823131525337,0.0028709785764228085,0.6872885161389172,0.004207540980599176,0.5911947191253007,0.005544103384775543,0.4951009221116842,0.006880665788951911,0.39900712509806774,0.008217228193128277,0.30291332808445126,0.009553790597304646,0.20681953107083473,0.010890353001481013,0.014631937043601773,0.013563477809833748
