generation_seed,test_index,state_threshold,primary_specification,state_harmful_probability,current_mismatch_indicator,anchor_age,trigger_score,primary_action,baseline_action,guarded_action,true_responsive_action,baseline_outcome,baseline_expansion,vetoed,baseline_regret,guarded_regret,regret_difference_guard_minus_baseline,support_distance_baseline_action,safety_score_baseline_action,downside_score_baseline_action,selectivity_class
44030,4,0.5,1,0.5923613097117761,0.054303427623651736,12.0,4.783886377017327,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.2961643910126897,0.789779761904762,8.693094124061079e-06,beneficial_vetoed
44030,16,0.5,1,0.7486631644793369,0.4339173985126608,7.0,7.776869571928644,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,2.184702206516232,0.7342440476190479,0.018525818860478462,beneficial_vetoed
44030,28,0.5,1,0.7640463528404666,0.3453374779259618,13.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.3648818887485137,0.7325416666666666,8.17823933616021e-05,beneficial_vetoed
44030,29,0.5,1,0.26666899745495226,0.016739713745882706,33.0,5.324709668908,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.7646398146261741,0.8046458333333334,0.0014791123074007061,beneficial_preserved
44030,35,0.5,1,0.7244493716139995,0.6423916688551128,23.0,7.811138833663312,3,1,3,3,harmful,1,1,0.042884636162847545,0.0,-0.042884636162847545,2.241781610470379,0.7331810064935067,0.019434626405956137,harmful_vetoed
44030,41,0.5,1,0.13835945800890273,0.06869742111987757,54.0,4.969481799948674,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0479308843551753,0.9305625,0.00036594285102396523,beneficial_preserved
44030,47,0.5,1,0.4049982166544793,0.29606457385768226,38.0,5.602146552174002,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.4451618300381277,0.631732142857143,0.00039962546611609036,neutral_preserved
44030,50,0.5,1,0.06319124509410035,0.09015088490054679,40.0,10.79649297110075,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.1731727890943207,0.7273452380952382,0.0002165590068184147,neutral_preserved
44030,55,0.5,1,0.08612213456960896,0.2169064304004015,17.0,15.35241468980229,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.938962371561347,0.6479583333333335,0.0,beneficial_preserved
44030,56,0.5,1,0.024421370537710832,0.13662056769635716,37.0,15.35241468980229,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.034189245974655,0.7715119047619045,0.0,neutral_preserved
44030,57,0.5,1,0.45079277322658673,0.01837793865890355,12.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.701201624043629,0.7881478174603177,0.0014549216626110093,beneficial_preserved
44030,62,0.5,1,0.316151539490939,0.03925734127395693,30.0,5.307625746477998,3,2,2,3,neutral,1,0,0.0,0.0,0.0,2.194418997161628,0.6834077380952382,0.0016821989464639018,neutral_preserved
44030,65,0.5,1,0.20743142462222083,0.012900906530676133,9.0,10.795117494348787,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.3655335772054173,0.7655788690476192,0.0014302877687909288,beneficial_preserved
44030,66,0.5,1,0.13071786799554547,0.0041012785806398945,19.0,10.795117494348787,3,1,1,3,harmful,1,0,0.10257280196541352,0.10257280196541352,0.0,2.2915654730817034,0.6867991071428574,0.008557762665903074,harmful_preserved
44030,69,0.5,1,0.6980192557771671,0.0682326169625127,5.0,4.612339812534982,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.7366907417352908,0.7812266865079367,1.086636765507635e-05,beneficial_vetoed
44030,73,0.5,1,0.7756677728925224,0.47708654612945744,16.0,6.1392014015604675,3,2,3,3,harmful,1,1,0.028056415359307252,0.0,-0.028056415359307252,2.0443029691089567,0.689386904761905,0.0013915780065034448,harmful_vetoed
