context_index,best_persistence,second_persistence,worst_persistence,loss_k1,loss_k2,loss_k3,best_loss,second_loss,worst_loss,absolute_margin,relative_margin,total_spread,relative_spread,benefit_probability,release_probability,anchor_age,trigger_score,feature_distance,current_mismatch_indicator,current_parameter_estimate
101,1,2,3,0.3485292461765579,0.37787692959435026,0.37787692959435026,0.3485292461765579,0.37787692959435026,0.37787692959435026,0.02934768341779237,0.08420436373606714,0.02934768341779237,0.08420436373606714,0.7096791557278658,0.6080172865217379,10.0,22.872039942593727,0.7692488447420839,0.42307918836887576,0.9295638724596351
102,1,2,3,0.2819398667715262,0.2819398667715262,0.2819398667715262,0.2819398667715262,0.2819398667715262,0.2819398667715262,0.0,0.0,0.0,0.0,0.7362063821979258,0.3879145602266518,20.0,22.872039942593727,0.7395344337938381,0.03330741336950258,0.917532469737922
103,1,2,3,0.19594217070829567,0.19594217070829567,0.19594217070829567,0.19594217070829567,0.19594217070829567,0.19594217070829567,0.0,0.0,0.0,0.0,0.6570534791166669,0.4428214471323313,30.0,22.872039942593727,0.7666521954320964,1.6031104305601112,0.9171208020191679
104,1,2,3,0.08420509972257541,0.08420509972257541,0.08420509972257541,0.08420509972257541,0.08420509972257541,0.08420509972257541,0.0,0.0,0.0,0.0,0.737311190151894,0.2369075272976605,50.0,22.872039942593727,1.1230173261320797,0.00020427033211074968,0.9206940410256007
105,1,2,3,0.23960895772729138,0.23960895772729138,0.23960895772729138,0.23960895772729138,0.23960895772729138,0.23960895772729138,0.0,0.0,0.0,0.0,0.7886211562123123,0.46999480568456486,10.0,26.98861330705401,0.9934634196556911,2.2044579192757072,0.9253627936870009
106,1,2,3,0.16459048376007535,0.16459048376007535,0.16459048376007535,0.16459048376007535,0.16459048376007535,0.16459048376007535,0.0,0.0,0.0,0.0,0.8022892964533581,0.32587324412673147,20.0,26.98861330705401,0.956645188972221,0.00280503795065002,0.9209532206525658
107,1,2,3,0.10707707813367756,0.10707707813367756,0.10707707813367756,0.10707707813367756,0.10707707813367756,0.10707707813367756,0.0,0.0,0.0,0.0,0.8075971669076774,0.2678868526883403,30.0,26.98861330705401,1.082507888868831,0.24424184539858707,0.9234610733897278
108,1,2,3,0.05452790431483526,0.05452790431483526,0.05452790431483526,0.05452790431483526,0.05452790431483526,0.05452790431483526,0.0,0.0,0.0,0.0,0.7436028022547572,0.20080317324541425,50.0,26.98861330705401,1.3885429861684493,0.07469401797242672,0.919019690417256
109,1,3,2,0.2201871284994097,0.24170253588308582,0.22036420602217893,0.2201871284994097,0.22036420602217893,0.24170253588308582,0.00017707752276924227,0.0008042137793214047,0.021515407383676133,0.09771419215195451,0.6111247054865453,0.6473343671802977,18.0,4.928875824222173,0.7612132534213704,0.028373351653366144,0.9230137141800606
110,3,2,1,0.1754154315419302,0.15407710168102332,0.11626408913268234,0.11626408913268234,0.15407710168102332,0.1754154315419302,0.03781301254834098,0.32523380890949877,0.05915134240924787,0.5087670909392726,0.580099437549906,0.5383847136550434,28.0,4.928875824222173,0.5808798284262255,0.6124735411395893,0.9131750091926075
111,1,2,3,0.11946348026770105,0.11946348026770105,0.11946348026770105,0.11946348026770105,0.11946348026770105,0.11946348026770105,0.0,0.0,0.0,0.0,0.8169084347029757,0.3523580665509459,8.0,10.40496913762004,1.2555835584268262,0.01689066012823967,0.9208112844309714
112,1,2,3,0.06562052170366575,0.06562052170366575,0.06562052170366575,0.06562052170366575,0.06562052170366575,0.06562052170366575,0.0,0.0,0.0,0.0,0.8125323231031609,0.27719356225035735,18.0,10.40496913762004,1.1248526577438076,0.605187262221577,0.9148465889620279
113,1,2,3,0.029292871298290276,0.029292871298290276,0.029292871298290276,0.029292871298290276,0.029292871298290276,0.029292871298290276,0.0,0.0,0.0,0.0,0.7119815937264365,0.31606879455148085,38.0,10.40496913762004,0.8728409607777317,0.035576040231485466,0.9211907505432145
114,2,3,1,0.33060435071515737,0.24936667240980875,0.24936667240980875,0.24936667240980875,0.24936667240980875,0.33060435071515737,0.0,0.0,0.08123767830534862,0.32577600494871656,0.5946347793198439,0.40754767447553636,11.0,4.779228473620071,1.3764941982460843,0.9443639518603666,0.9129143478578778
115,2,3,1,0.23191160052521304,0.15067392221986442,0.15067392221986442,0.15067392221986442,0.15067392221986442,0.23191160052521304,0.0,0.0,0.08123767830534862,0.5391621662723219,0.7417197082312956,0.32968265337851704,21.0,4.779228473620071,1.168986193767265,0.11652494582532938,0.9208442104087988
116,2,3,1,0.17983588672663264,0.09859820842128403,0.09859820842128403,0.09859820842128403,0.09859820842128403,0.17983588672663264,0.0,0.0,0.08123767830534862,0.8239265155551062,0.7060311706928281,0.2858035603235288,31.0,4.779228473620071,1.004696088906153,0.7511262089528125,0.9162865990259482
