condition,true_class,run_index,seed,evidence_time,predicted_condition,condition_correct,target_p_fail_A,target_p_fail_C,target_p_fail_S,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,marginal_mae
process_disturbance_2.70,process_disturbance,120,41320,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4373191376848392,0.09892969543991145,0.06894715395362606,0.023519237236232778
process_disturbance_2.70,process_disturbance,121,41321,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.32591178644667285,0.2745811239973408,0.08095603676598939,0.12320845810555246
process_disturbance_2.70,process_disturbance,122,41322,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44180805219389624,0.09094106091119745,0.06704780063870028,0.018726936452000506
process_disturbance_2.70,process_disturbance,123,41323,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.43523855934405603,0.1022629478191064,0.06759679413956304,0.02487372753820448
process_disturbance_2.70,process_disturbance,124,41324,60,structural_change_delta_0.060,False,0.46,0.06,0.06,0.28261452186506497,0.3685600327382116,0.09654286632086376,0.17416279239800347
process_disturbance_2.70,process_disturbance,125,41325,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.43589913735026425,0.10190373697702534,0.06917214363543421,0.025058914420731774
process_disturbance_2.70,process_disturbance,126,41326,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3401118252904978,0.25845789402256797,0.08718037374266349,0.11517548082491122
process_disturbance_2.70,process_disturbance,127,41327,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4443263746530294,0.08609382760086318,0.06429449977982335,0.01535398424255239
process_disturbance_2.70,process_disturbance,128,41328,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.42484903498103604,0.12063458046303326,0.07524693423508677,0.037010826572361336
process_disturbance_2.70,process_disturbance,129,41329,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.32278464608219043,0.27462738974310835,0.08792080785675543,0.12658785050589114
process_disturbance_2.70,process_disturbance,130,41330,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.436449512764367,0.09959852507519026,0.06608730533834965,0.023078772549724316
process_disturbance_2.70,process_disturbance,131,41331,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.42492960627316173,0.11903675871438332,0.07251441825861023,0.03554052356661062
process_disturbance_2.70,process_disturbance,132,41332,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44258064380059714,0.08903902107689957,0.06411693257125058,0.01685843661585101
process_disturbance_2.70,process_disturbance,133,41333,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3821565418077904,0.1908966416471954,0.0894651014165771,0.07940173375199404
process_disturbance_2.70,process_disturbance,134,41334,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4382288090563593,0.09657911921447605,0.06854888381524883,0.022299731324455202
process_disturbance_2.70,process_disturbance,135,41335,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3701914208472985,0.21327078900184182,0.09221449833405129,0.09176462216286488
process_disturbance_2.70,process_disturbance,136,41336,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.2274135767351066,0.42447561381361115,0.07198212977564168,0.20301472228471543
process_disturbance_2.70,process_disturbance,137,41337,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4408403554116859,0.09230967458688007,0.06639318570089536,0.019287501625363176
process_disturbance_2.70,process_disturbance,138,41338,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.1853025304056801,0.4837799661967395,0.05364512158726283,0.23494410473459887
process_disturbance_2.70,process_disturbance,139,41339,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.33727433091466125,0.257910598972086,0.09405687212069824,0.11823104672604101
process_disturbance_2.70,process_disturbance,140,41340,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3955730442839955,0.1708942590396299,0.07554885385933935,0.06362335620499127
process_disturbance_2.70,process_disturbance,141,41341,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44344812879363577,0.08794386349624884,0.06543494531063948,0.016643560004417527
process_disturbance_2.70,process_disturbance,142,41342,60,structural_change_delta_0.060,False,0.46,0.06,0.06,0.2733340916077482,0.3633110694674586,0.08805729837756053,0.17267809207909032
process_disturbance_2.70,process_disturbance,143,41343,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.43801579837266,0.09791959904845525,0.06530206869520407,0.021735289790333106
process_disturbance_2.70,process_disturbance,144,41344,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44005440703402626,0.09436519781607053,0.06634563318095812,0.02021880798766747
process_disturbance_2.70,process_disturbance,145,41345,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.2216858719820376,0.4196610530893515,0.04318894736896462,0.20492874457944976
process_disturbance_2.70,process_disturbance,146,41346,60,structural_change_delta_0.060,False,0.46,0.06,0.06,0.23962506839343717,0.42544441855390636,0.08094229553715573,0.20225388189920832
process_disturbance_2.70,process_disturbance,147,41347,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.37809612332946396,0.19551676710796778,0.07578921958438714,0.07773662112096366
process_disturbance_2.70,process_disturbance,148,41348,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.34805074982177325,0.24877402378666902,0.08100742665319527,0.10724356687269702
process_disturbance_2.70,process_disturbance,149,41349,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3455197117836528,0.24871089751903724,0.088757903476567,0.11064969640398381
process_disturbance_2.70,process_disturbance,150,41350,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.34159384926699426,0.2582057280318778,0.06591913012568519,0.10751033629685625
process_disturbance_2.70,process_disturbance,151,41351,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44746906560464383,0.08118162113319119,0.0641082317701505,0.01260692909956596
process_disturbance_2.70,process_disturbance,152,41352,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.439402869010136,0.0959902795511569,0.06741067192385732,0.02133269415495942
process_disturbance_2.70,process_disturbance,153,41353,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4235515813422333,0.11930135763663119,0.07068771728762704,0.03547916452734165
