condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
process_disturbance_boundary,process_disturbance,37114,baseline,True,1.4303241183078896,1.0,1.0,0.7165424096638906,0.005991824145946215,0.0007610759208638296,0.6394007245434797,0,True,False
process_disturbance_boundary,process_disturbance,37114,generic_uncertainty,True,1.4303241183078896,0.25,1.5,0.5850544275802808,0.3146508685215579,0.31519026898021596,0.15985018113586993,,False,True
process_disturbance_boundary,process_disturbance,37114,probabilistic_failure_aware,True,1.4303241183078896,0.1,1.25,0.6408950147079847,0.37785944888321343,0.3780761075920859,0.06394007245434802,,False,True
process_disturbance_boundary,process_disturbance,37115,baseline,False,0.04502771119637644,1.0,1.0,0.6687368415546328,0.006185828236514914,0.010506220037599934,0.6464311233057866,0,True,False
process_disturbance_boundary,process_disturbance,37115,generic_uncertainty,False,0.04502771119637644,0.25,1.5,0.546021344669764,0.3144344251990489,0.3123734449905998,0.16160778082644664,,False,True
process_disturbance_boundary,process_disturbance,37115,probabilistic_failure_aware,False,0.04502771119637644,0.1,1.25,0.5981364147098659,0.37777289266264646,0.3769493779962396,0.06464311233057862,,False,True
process_disturbance_boundary,process_disturbance,37116,baseline,True,0.7041132185193821,1.0,1.0,0.7620060660231518,0.007235493292360108,0.000548239452871746,0.709067580505045,0,True,False
process_disturbance_boundary,process_disturbance,37116,generic_uncertainty,True,0.7041132185193821,0.25,1.5,0.6221753475540905,0.31435715204713394,0.31513705986321805,0.17726689512626126,,False,True
process_disturbance_boundary,process_disturbance,37116,probabilistic_failure_aware,True,0.7041132185193821,0.1,1.25,0.6815589451579841,0.3777416499321528,0.3780548239452872,0.07090675805050446,,False,True
process_disturbance_boundary,process_disturbance,37117,baseline,True,1.535608093073104,1.0,1.0,0.7630140582854703,0.01061089959767584,0.002610272050102669,0.7047029538953219,0,True,False
process_disturbance_boundary,process_disturbance,37117,generic_uncertainty,True,1.535608093073104,0.25,1.5,0.6229983697898753,0.3136853204276369,0.3156525680125263,0.17617573847383047,,False,True
process_disturbance_boundary,process_disturbance,37117,probabilistic_failure_aware,True,1.535608093073104,0.1,1.25,0.6824605208457194,0.37747187802146726,0.3782610272050104,0.0704702953895322,,False,True
process_disturbance_boundary,process_disturbance,37118,baseline,True,0.00022373316356166795,1.0,1.0,0.7536988139583946,0.007126398762676691,0.002821138623830044,0.6778086992401133,0,True,False
process_disturbance_boundary,process_disturbance,37118,generic_uncertainty,True,0.00022373316356166795,0.25,1.5,0.6153925046463113,0.3145548306931195,0.31429471534404285,0.16945217481002833,,False,True
process_disturbance_boundary,process_disturbance,37118,probabilistic_failure_aware,True,0.00022373316356166795,0.1,1.25,0.674128713028775,0.37782067203205616,0.37771788613761703,0.06778086992401133,,False,True
process_disturbance_boundary,process_disturbance,37119,baseline,True,1.2914630411189059,1.0,1.0,0.7199590001494566,0.00962368805523349,0.0012360447347492531,0.6490286568434382,0,True,False
process_disturbance_boundary,process_disturbance,37119,generic_uncertainty,True,1.2914630411189059,0.25,1.5,0.5878440620301756,0.31372841524809436,0.31530901118368737,0.16225716421085956,,False,True
process_disturbance_boundary,process_disturbance,37119,probabilistic_failure_aware,True,1.2914630411189059,0.1,1.25,0.6439509061387862,0.37748959798771076,0.3781236044734755,0.06490286568434381,,False,True
process_disturbance_boundary,process_disturbance,37120,baseline,True,2.221083405879407,1.0,1.0,0.8100437998838582,0.010500972347928588,0.00046164257219116767,0.6932523249488323,0,True,False
process_disturbance_boundary,process_disturbance,37120,generic_uncertainty,True,2.221083405879407,0.25,1.5,0.6613979930068734,0.3141954295369288,0.31488458935695174,0.17331308123720807,,False,True
process_disturbance_boundary,process_disturbance,37120,probabilistic_failure_aware,True,2.221083405879407,0.1,1.25,0.7245252005170172,0.3776755263499406,0.37795383574278096,0.06932523249488322,,False,True
