generation_seed,test_index,action,unsafe_action,realized_action_regret,clean_score,poison_score,delta_score,clean_excluded,poison_excluded,membership_switch,clean_cutoff_score,abs_clean_cutoff_margin,near_cutoff_primary
44791,33,1,1,0.0081530281436022,0.6899632358916852,0.7415814020601479,0.05161816616846271,1,1,0,0.2801911160011875,0.40977211989049767,0
44791,33,2,0,0.0,0.282971284507793,0.3342824248892886,0.05131114038149559,1,1,0,0.2801911160011875,0.002780168506605507,1
44791,33,3,0,0.0,0.17218221966037858,0.16227098127132555,-0.009911238389053029,0,0,0,0.2801911160011875,0.10800889634080893,0
44791,34,1,0,0.0,0.6395245939674767,0.7365025679849242,0.09697797401744745,1,1,0,0.2801911160011875,0.3593334779662892,0
44791,34,2,0,0.0,0.23931902640204597,0.32844767548178977,0.0891286490797438,0,0,0,0.2801911160011875,0.04087208959914154,0
44791,34,3,0,0.0,0.14223057615653018,0.15872277546680555,0.016492199310275374,0,0,0,0.2801911160011875,0.13796053984465734,0
44791,35,1,0,0.0,0.6430799974361657,0.7368509477500819,0.09377095031391613,1,1,0,0.2801911160011875,0.3628888814349782,0
44791,35,2,0,0.0,0.24214406662834692,0.328843923009772,0.08669985638142508,0,0,0,0.2801911160011875,0.03804704937284059,0
44791,35,3,0,0.0,0.14412668476080806,0.15896273131360336,0.014836046552795301,0,0,0,0.2801911160011875,0.13606443124037945,0
44791,36,1,0,0.0,0.656557128071158,0.7381832768189236,0.08162614874776564,1,1,0,0.2801911160011875,0.37636601206997045,0
44791,36,2,0,0.0,0.2531789641327477,0.33036468987204143,0.07718572573929372,0,0,0,0.2801911160011875,0.027012151868439804,0
44791,36,3,0,0.0,0.15158823400128257,0.15988502347389896,0.00829678947261639,0,0,0,0.2801911160011875,0.12860288199990494,0
44791,37,1,1,0.1415189897851119,0.6533795000301285,0.737867381454525,0.08448788142439656,1,1,0,0.2801911160011875,0.37318838402894094,0
44791,37,2,1,0.0586343332756735,0.25052949748109943,0.33000334304690304,0.07947384556580361,0,0,0,0.2801911160011875,0.029661618520088084,0
44791,37,3,0,0.0,0.1497886642742373,0.15966568345885782,0.009877019184620528,0,0,0,0.2801911160011875,0.13040245172695022,0
44791,38,1,1,0.1415189897851118,0.6870156934787923,0.7412752556502502,0.05425956217145789,1,1,0,0.2801911160011875,0.4068245774776048,0
44791,38,2,1,0.0586343332756734,0.2801911160011875,0.33392714743202423,0.05373603143083672,1,1,0,0.2801911160011875,0.0,1
44791,38,3,0,0.0,0.1702321215049723,0.16205401648111573,-0.008178105023856574,0,0,0,0.2801911160011875,0.10995899449621521,0
44791,39,1,0,0.0,0.6677328567040922,0.7393036662928297,0.07157080958873752,1,1,0,0.2801911160011875,0.3875417407029047,0
44791,39,2,0,0.0,0.26274128827274995,0.3316501758834603,0.06890888761071035,0,0,0,0.2801911160011875,0.01744982772843756,1
44791,39,3,0,0.0,0.15812598727293797,0.16066631359496802,0.002540326322030051,0,0,0,0.2801911160011875,0.12206512872824954,0
44791,40,1,0,0.0,0.6640465116384258,0.7389324290537903,0.07488591741536454,1,1,0,0.2801911160011875,0.38385539563723825,0
44791,40,2,0,0.0,0.2595442967004753,0.3312235600765402,0.0716792633760649,0,0,0,0.2801911160011875,0.020646819300712216,0
44791,40,3,0,0.0,0.15593270561552566,0.1604068541651184,0.0044741485495927436,0,0,0,0.2801911160011875,0.12425841038566185,0
44791,41,1,0,0.0,0.6654617037099685,0.7390747468077536,0.07361304309778516,1,1,0,0.2801911160011875,0.385270587708781,0
44791,41,2,0,0.0,0.2607665582278074,0.33138702864507785,0.07062047041727043,0,0,0,0.2801911160011875,0.01942455777338009,1
44791,41,3,0,0.0,0.15677033930322326,0.16050625239002378,0.0037359130868005186,0,0,0,0.2801911160011875,0.12342077669796425,0
44791,42,1,1,0.0820771850896013,0.6736909508012715,0.7399073682724414,0.06621641747116991,1,1,0,0.2801911160011875,0.393499834800084,0
44791,42,2,0,0.0,0.2680004272285999,0.3323453663221151,0.06434493909351519,0,0,0,0.2801911160011875,0.01219068877258761,1
44791,42,3,0,0.0,0.1617505200871521,0.16108948095310138,-0.0006610391340507171,0,0,0,0.2801911160011875,0.11844059591403541,0
44791,43,1,1,0.0401924655900962,0.6966899126933335,0.7422852565898889,0.045595343896555396,1,1,0,0.2801911160011875,0.41649879669214596,0
