trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
119,1576,77,391,16.16232289551155
120,1576,57,392,16.20742687464437
121,1576,54,392,16.20742687464437
122,1576,66,393,16.21321524468546
123,1576,68,393,16.21321524468546
124,1576,80,391,16.17544921458432
125,1576,84,390,16.156156092332473
126,1576,61,393,16.21321524468546
127,1576,76,391,16.188885873708163
128,1576,78,391,16.186015936602143
129,1576,59,392,16.20742687464437
130,1576,65,393,16.21321524468546
131,1576,67,392,16.20742687464437
132,1576,62,393,16.21321524468546
133,1576,62,392,16.20742687464437
134,1576,65,392,16.20742687464437
135,1576,76,391,16.16232289551155
136,1576,62,392,16.20742687464437
137,1576,56,392,16.20742687464437
138,1576,60,392,16.20742687464437
139,1576,67,392,16.20742687464437
140,1576,74,390,16.156156092332473
141,1576,68,391,16.19808338230796
142,1576,63,392,16.20742687464437
143,1576,61,392,16.20742687464437
144,1576,62,393,16.21321524468546
145,1576,66,392,16.20742687464437
146,1576,63,392,16.20742687464437
147,1576,77,390,16.156156092332473
148,1576,52,392,16.20742687464437
149,1576,70,392,16.196789766255822
150,1576,53,392,16.20742687464437
151,1576,67,392,16.196789766255822
152,1576,75,391,16.186015936602143
153,1576,58,392,16.20742687464437
154,1576,63,392,16.20742687464437
155,1576,61,392,16.20742687464437
156,1576,62,393,16.21321524468546
157,1576,65,392,16.20742687464437
158,1576,70,393,16.21321524468546
159,1576,70,392,16.19915509217374
160,1576,61,392,16.20742687464437
161,1576,60,392,16.20742687464437
162,1576,66,392,16.19915509217374
163,1576,68,392,16.20742687464437
164,1576,63,392,16.20742687464437
165,1576,64,392,16.19915509217374
166,1576,61,393,16.21321524468546
167,1576,74,392,16.196789766255822
168,1576,57,392,16.20742687464437
169,1576,65,392,16.20742687464437
170,1576,62,392,16.20742687464437
171,1576,48,392,16.20742687464437
172,1576,71,392,16.19915509217374
173,1576,71,392,16.20742687464437
174,1576,66,393,16.21321524468546
175,1576,77,391,16.186015936602143
176,1576,67,392,16.20742687464437
177,1576,77,391,16.182071902179747
178,1576,68,393,16.21321524468546
179,1576,64,392,16.20742687464437
180,1576,58,392,16.20742687464437
181,1576,63,393,16.21321524468546
182,1576,61,392,16.20742687464437
183,1576,68,392,16.20742687464437
184,1576,62,392,16.20742687464437
185,1576,57,392,16.20742687464437
186,1576,71,392,16.19915509217374
187,1576,52,392,16.20742687464437
188,1576,68,392,16.196789766255822
189,1576,65,393,16.21321524468546
190,1576,67,392,16.19915509217374
191,1576,62,393,16.21321524468546
192,1576,72,393,16.21321524468546
193,1576,69,390,16.156156092332473
194,1576,71,392,16.19915509217374
195,1576,61,392,16.20742687464437
196,1576,62,392,16.20742687464437
197,1576,66,392,16.20742687464437
198,1576,63,392,16.20742687464437
199,1576,73,393,16.21321524468546
200,1576,71,392,16.20742687464437
201,1576,77,393,16.21321524468546
202,1576,70,392,16.196789766255822
203,1576,52,392,16.20742687464437
204,1576,78,390,16.14141297430834
205,1576,70,392,16.20742687464437
206,1576,56,392,16.20742687464437
207,1576,55,392,16.20742687464437
208,1576,71,391,16.182071902179747
209,1576,71,391,16.182071902179747
210,1576,88,390,16.140634089363605
211,1576,68,391,16.182071902179747
212,1576,79,392,16.207577242407055
213,1576,51,392,16.20742687464437
214,1576,72,391,16.16232289551155
215,1576,68,392,16.196789766255822
216,1576,61,392,16.20742687464437
217,1576,64,392,16.20742687464437
218,1576,63,392,16.20742687464437
219,1576,55,392,16.20742687464437
220,1576,73,391,16.186015936602143
221,1576,51,392,16.20742687464437
222,1576,62,392,16.20742687464437
223,1576,68,392,16.20742687464437
224,1576,65,391,16.182071902179747
225,1576,66,392,16.20742687464437
226,1576,69,393,16.21321524468546
227,1576,73,393,16.21321524468546
228,1576,78,391,16.188885873708163
229,1576,59,392,16.20742687464437
230,1576,63,393,16.21321524468546
231,1576,72,392,16.20742687464437
232,1576,61,392,16.20742687464437
233,1576,62,392,16.20742687464437
234,1576,58,392,16.20742687464437
235,1576,61,392,16.20742687464437
236,1576,63,393,16.21321524468546
237,1576,65,392,16.20742687464437
238,1576,64,392,16.20742687464437
239,1576,64,392,16.20742687464437
240,1576,60,392,16.20742687464437
241,1576,72,392,16.19915509217374
242,1576,58,392,16.20742687464437
243,1576,66,393,16.21321524468546
244,1576,74,391,16.172980272187065
245,1576,58,392,16.20742687464437
246,1576,52,392,16.20742687464437
247,1576,56,392,16.20742687464437
248,1576,68,393,16.21321524468546
249,1576,66,392,16.20742687464437
