population,performance_weight,responsiveness_weight,weight_ratio,policy,multiplier,weighted_distance,selected
seed_200_239,1.0,1.0,1.0,two_stage_0.35,0.35,0.526831461649335,0
seed_200_239,1.0,1.0,1.0,two_stage_0.40,0.4,0.482042577657232,1
seed_200_239,1.0,1.0,1.0,two_stage_0.45,0.45,0.5781326211673667,0
seed_200_239,1.0,1.0,1.0,two_stage_0.50,0.5,0.7071067811865476,0
seed_200_239,1.05,1.0,1.05,two_stage_0.25,0.25,0.7156780854205468,0
seed_200_239,1.05,1.0,1.05,two_stage_0.30,0.3,0.583883346564255,0
seed_200_239,1.05,1.0,1.05,two_stage_0.35,0.35,0.5290726313905117,0
seed_200_239,1.05,1.0,1.05,two_stage_0.40,0.4,0.47843376055338266,1
seed_200_239,1.05,1.0,1.05,two_stage_0.45,0.45,0.5718462173507204,0
seed_200_239,1.05,1.0,1.05,two_stage_0.50,0.5,0.6984302957695783,0
seed_200_239,1.1,1.0,1.1,two_stage_0.25,0.25,0.7237468644557459,0
seed_200_239,1.1,1.0,1.1,two_stage_0.30,0.3,0.5895963088466413,0
seed_200_239,1.1,1.0,1.1,two_stage_0.35,0.35,0.5311982878394218,0
