threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered_by_expansion,safe_action_recall,safe_action_precision,false_safe_actions,score_action_1,score_action_2,score_action_3
0.7,13,1,1|2|3,1|2|3,1|2|3,1,1,0.0,1,0,1.0,1.0,,0.8469166666666665,0.188485119047619,0.5009703872516369
0.7,14,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.06777083333333334,0.7928154761904764,0.8752167797480297
0.7,15,1,3,3,1|3,3,1,0.0,0,0,0.5,1.0,,0.6171696428571428,0.07501488095238097,0.9420213293650795
0.7,16,1,3,3,1|3,3,1,0.0,0,0,0.5,1.0,,0.5310238095238096,0.03986309523809523,0.6592033730158728
0.7,17,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.05580555555555556,0.31542658730158735,0.9396458333333332
0.7,18,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.07105059523809525,0.8304107142857141,0.8834092261904761
0.7,19,2,1|2|3,1|2|3,2|3,1,2,0.09518820021482474,1,0,1.0,0.6666666666666666,1,0.8397708333333334,0.16550892857142854,0.544751989330114
0.7,20,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.03539583333333332,0.30599603174603174,0.9646011904761906
0.7,21,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.1043125,0.2643531746031747,0.8840114087301589
0.7,22,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.08689583333333334,0.31177182539682546,0.9288958333333333
0.7,23,2,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.3708229166666666,0.6562991071428573,0.813746941579662
0.7,24,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.12383531746031742,0.847958333333333,0.9151572420634921
0.7,25,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.11962499999999998,0.7487500000000001,0.7688397054334556
0.7,26,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.12087499999999997,0.817787698412698,0.8326242247335994
0.7,27,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8090625,0.19272371031746033,0.892186507936508
0.7,28,1,3,3,1|2|3,3,1,0.0,0,0,0.3333333333333333,1.0,,0.4159156746031747,0.1693095238095238,0.7070477092352091
0.7,29,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.05745833333333335,0.8049404761904762,0.8170010059385058
0.7,30,1,3,3,1|3,3,1,0.0,0,0,0.5,1.0,,0.6619375,0.07770833333333332,0.6533384428071924
0.7,31,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.14979166666666668,0.6337772817460319,0.8595318050005549
0.7,32,3,3,2|3,3,2,3,0.03348088192022192,1,0,1.0,0.5,2,0.026229166666666668,0.8696041666666667,0.9340019841269839
0.7,33,3,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.5348720238095236,0.08725,0.7782748917748918
0.7,34,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.2776488095238095,0.1998511904761904,0.6297753878066374
0.7,35,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.028770833333333336,0.3049246031746032,0.9200049603174604
0.7,36,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.03989583333333333,0.4497867063492064,0.9768651244588746
0.7,37,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.0771875,0.7958650793650791,0.8692746742636447
0.7,38,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.12110416666666665,0.2583333333333333,0.8147470376845378
0.7,39,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.02270833333333333,0.9182291666666665,0.9774980158730158
0.7,40,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.08149999999999999,0.7013501984126986,0.8448645011034714
0.7,41,3,1,1,1,1,1,0.007375586548430901,1,0,1.0,1.0,,0.6074375000000001,0.09533333333333335,0.19759270345667393
0.7,42,3,1,1,1,1,1,0.03091974117703608,1,0,1.0,1.0,,0.46221130952380945,0.23813690476190477,0.4526915213054917
0.7,43,2,3,3,3,3,3,0.006871910725323005,1,0,1.0,1.0,,0.3013392857142857,0.21998511904761908,0.7733612012987013
0.7,44,1,3,3,1,3,1,0.006622848127195047,0,0,0.0,0.0,3,0.42008333333333303,0.1528154761904761,0.3089756399646106
0.7,45,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.16768154761904752,0.7426547619047618,0.6812539821289819
0.7,46,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.061729166666666675,0.8367946428571429,0.7798889027639027
0.7,47,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.10235416666666666,0.8249603174603173,0.8211420818764565
0.7,48,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8936577380952379,0.10269246031746032,0.6599674561549559
0.7,49,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.853458333333333,0.04435416666666667,0.7602356150793648
0.7,50,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.09273809523809523,0.19989087301587305,0.8846644483988234
0.7,51,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8577648809523807,0.029333333333333333,0.9480570436507937
0.7,52,1,3,3,1|3,3,1,0.0,0,0,0.5,1.0,,0.6550967261904762,0.11875892857142858,0.7475069895382397
