bootstrap,primary_auc,action_only_auc,difference
252,0.8281763485825301,0.7799939739566956,0.04818237462583452
253,0.8209761035525333,0.7735479388161093,0.04742816473642397
254,0.8276398184165005,0.7827088605371992,0.044930957879301237
255,0.8202508787018793,0.7704046582810024,0.04984622042087694
256,0.8387214536691056,0.7912566104512699,0.04746484321783562
257,0.8289210707282743,0.7775667270189532,0.051354343709321015
258,0.8178992864123897,0.7663868283881314,0.0515124580242583
259,0.8269149506279772,0.7769467319535188,0.04996821867445833
260,0.8228260124470619,0.7811206791275536,0.04170533331950832
261,0.8381968770736288,0.7897238394843181,0.04847303758931065
262,0.8276736066486742,0.7847120478658842,0.042961558782789955
263,0.8279528207517988,0.7740705530855496,0.05388226766624915
264,0.8295522328473736,0.77880620866837,0.050746024179003535
265,0.8222976215850977,0.7788664285786785,0.04343119300641918
266,0.8367877528308159,0.7879892323417566,0.048798520489059305
267,0.8333118540768987,0.7845098616709907,0.04880199240590799
268,0.8323030033344312,0.7838079387785373,0.04849506455589392
269,0.8193707084793087,0.7750340121908261,0.04433669628848258
270,0.8400951791547939,0.7891160672616753,0.050979111893118656
271,0.8271107248052634,0.7833054980755858,0.04380522672967757
272,0.8231934151778699,0.772201203335971,0.05099221184189895
273,0.82414502682548,0.7741078802722638,0.050037146553216116
274,0.8244094190808565,0.7736241773309884,0.05078524174986809
275,0.8369450130486153,0.790208134725139,0.046736878323476394
276,0.8347361353190841,0.7826150720248364,0.052121063294247705
277,0.8202251673384453,0.763202936603083,0.05702223073536228
278,0.8283791247043857,0.7785145325523921,0.04986459215199357
279,0.8329468992461659,0.7844029084087957,0.048543990837370266
280,0.8329721202710332,0.7863975155279503,0.04657460474308284
281,0.8345304406638994,0.7856324435712874,0.048897997092612
282,0.8217220368109198,0.7710004732838772,0.0507215635270426
283,0.8273371481852296,0.7853411758770238,0.04199597230820584
284,0.825526374588435,0.7778679563189543,0.047658418269480696
285,0.8316889176180624,0.7891845023979074,0.04250441522015502
286,0.8228271745834548,0.774411167059051,0.04841600752440378
287,0.832502155861521,0.7837903436782389,0.04871181218328213
288,0.8224176923836937,0.7771406093565779,0.04527708302711575
289,0.8300311855632928,0.7849081331055385,0.045123052457754276
