policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,train_count,test_count,pareto_efficient
fixed_k3,0.06666666666666667,0.13890861082675265,0.008702681313186057,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,0,70,5,0.0,1.0,0.6266666666666667,1,174,75,0
oracle,1.0,0.13020592951356658,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7691354319127331,0.6133333333333333,0.6533333333333333,1,174,75,0
direct_loss,0.30666666666666664,0.16053762684964684,0.0063792345317721984,0.0,0.09500286536135785,0.8533333333333334,0.14666666666666667,6,46,23,0.9597809444568353,0.4533333333333333,0.0,2,174,75,1
fixed_risk_0.010,0.12,0.16025731732817342,0.006098925010298781,0.0,0.09500286536135785,0.8666666666666667,0.13333333333333333,2,64,9,0.2229449181672394,0.9333333333333333,0.48,2,174,75,0
two_stage_0.10,0.24,0.16029462004266865,0.006136227724793999,0.0,0.09500286536135785,0.8533333333333334,0.14666666666666667,5,52,18,0.8024039487202034,0.6533333333333333,0.2,2,174,75,1
two_stage_0.25,0.2,0.15954632793064155,0.005387935612766906,0.0,0.09500286536135785,0.8666666666666667,0.13333333333333333,3,57,15,0.507830094064133,0.8133333333333334,0.36,2,174,75,1
two_stage_1.00,0.13333333333333333,0.16014848932361525,0.005990097005740626,0.0,0.09500286536135785,0.88,0.12,1,64,10,0.2865562962704097,0.92,0.4666666666666667,2,174,75,1
fixed_k3,0.09333333333333334,0.16038801638166128,0.006229624063786636,0.0,0.09500286536135785,0.88,0.12,0,68,7,0.0,1.0,0.5466666666666666,2,174,75,0
oracle,1.0,0.15415839231787465,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7464265478467285,0.68,0.6933333333333334,2,174,75,0
direct_loss,0.36,0.13519749008594056,0.005444627848997318,0.0,0.09500286536135785,0.8933333333333333,0.10666666666666667,4,44,27,0.9581292262352823,0.48,0.0,3,174,75,1
fixed_risk_0.010,0.08,0.13535656397108922,0.005603701734145961,0.0,0.09500286536135785,0.88,0.10666666666666667,3,66,6,0.2537468173658883,0.92,0.44,3,174,75,0
two_stage_0.10,0.26666666666666666,0.1351998511195775,0.0054469888826342416,0.0,0.09500286536135785,0.88,0.10666666666666667,4,51,20,0.8033437314357734,0.64,0.16,3,174,75,0
two_stage_0.25,0.2,0.13535656397108922,0.005603701734145961,0.0,0.09500286536135785,0.88,0.10666666666666667,3,57,15,0.6173328141841827,0.76,0.28,3,174,75,1
two_stage_1.00,0.08,0.1356797761265748,0.005926913889631554,0.0,0.09500286536135785,0.8666666666666667,0.12,2,67,6,0.3000972305087439,0.92,0.44,3,174,75,1
fixed_k3,0.05333333333333334,0.13584453302638944,0.006091670789446187,0.0,0.09500286536135785,0.88,0.10666666666666667,0,71,4,0.0,1.0,0.52,3,174,75,0
oracle,1.0,0.12975286223694327,0.0,0.0,0.0,1.0,0.0,0,0,75,0.6638273425666013,0.72,0.64,3,174,75,0
direct_loss,0.30666666666666664,0.1429039070897834,0.009056121485293441,0.0,0.18820447819337066,0.8666666666666667,0.13333333333333333,3,49,23,0.9083362485136994,0.49333333333333335,0.0,4,174,75,1
