dose,trial,flipped_source_unsafe_rows,unsafe_selected,total_regret
0.2,137,328,322,15.144049682330769
0.2,138,328,324,15.178820427483283
0.2,139,328,327,15.227445119461581
0.2,140,328,323,15.161576106369107
0.2,141,328,321,15.12671251805837
0.2,142,328,322,15.144049682330769
0.2,143,328,327,15.227445119461581
0.2,144,328,327,15.227445119461581
0.2,145,328,323,15.161576106369107
0.2,146,328,328,15.242029730777546
0.2,147,328,326,15.210417058450277
0.2,148,328,325,15.195242320632861
0.2,149,328,329,15.25890516955716
0.2,150,328,328,15.242029730777546
0.2,151,328,329,15.25890516955716
0.2,152,328,323,15.161576106369107
0.2,153,328,325,15.195242320632861
0.2,154,328,327,15.227445119461581
0.2,155,328,323,15.161576106369107
0.2,156,328,323,15.161576106369107
0.2,157,328,327,15.227445119461581
0.2,158,328,328,15.242029730777546
0.2,159,328,328,15.242029730777546
0.2,160,328,328,15.242029730777546
0.2,161,328,329,15.25890516955716
0.2,162,328,321,15.12671251805837
0.2,163,328,323,15.161576106369107
0.2,164,328,329,15.25890516955716
0.2,165,328,328,15.242029730777546
0.2,166,328,324,15.178820427483283
0.2,167,328,324,15.178820427483283
0.2,168,328,328,15.242029730777546
0.2,169,328,323,15.161576106369107
0.2,170,328,323,15.161576106369107
0.2,171,328,324,15.178820427483283
0.2,172,328,328,15.242029730777546
0.2,173,328,326,15.210417058450277
0.2,174,328,323,15.161576106369107
0.2,175,328,325,15.195242320632861
0.2,176,328,328,15.242029730777546
0.2,177,328,328,15.242029730777546
0.2,178,328,323,15.161576106369107
0.2,179,328,329,15.25890516955716
0.2,180,328,329,15.25890516955716
0.2,181,328,324,15.178820427483283
0.2,182,328,324,15.178820427483283
0.2,183,328,323,15.161576106369107
0.2,184,328,327,15.227445119461581
0.2,185,328,324,15.178820427483283
0.2,186,328,325,15.195242320632861
0.2,187,328,323,15.161576106369107
0.2,188,328,329,15.25890516955716
0.2,189,328,323,15.161576106369107
0.2,190,328,327,15.227445119461581
0.2,191,328,327,15.227445119461581
0.2,192,328,323,15.161576106369107
0.2,193,328,323,15.161576106369107
0.2,194,328,328,15.242029730777546
0.2,195,328,328,15.242029730777546
0.2,196,328,328,15.242029730777546
0.2,197,328,324,15.178820427483283
0.2,198,328,325,15.195242320632861
0.2,199,328,329,15.25890516955716
0.2,200,328,329,15.25890516955716
