condition,true_class,seed,policy,selected_action,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,38026,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3502081259677831,0.007209977994673556,0.00691549495373589,0.7536449057191233,0.585006615390593,True,0
measurement_noise_0.850,measurement_noise,38026,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.35126906144739406,0.007516958263524764,0.006381067007514174,0.759098698124857,0.6022931097568259,True,0
measurement_noise_0.850,measurement_noise,38027,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.38131880826836423,0.006294401121978698,0.0009579169416285005,0.865240895820162,0.7059964139249952,True,0
measurement_noise_0.850,measurement_noise,38027,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.38373442115106826,0.005867209901148632,0.0008950645049684569,0.8513687067942362,0.6783330174804095,True,0
measurement_noise_0.850,measurement_noise,38027,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.3818061392229141,0.006191812947234343,0.0009450427759478686,0.860852476632631,0.6993292400467694,True,0
measurement_noise_0.850,measurement_noise,38028,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3236916329913396,0.008592733950562268,0.009620801198802376,0.8457541060767242,1.1911556366559033,True,0
measurement_noise_0.850,measurement_noise,38028,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.34161960416376624,0.008488007359935794,0.009324451709173509,0.847373110586644,1.1511858399788382,True,0
measurement_noise_0.850,measurement_noise,38028,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.32757523601835936,0.008568299208692516,0.009553535001309288,0.8461145788679275,1.1821486090856483,True,0
measurement_noise_0.850,measurement_noise,38029,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3791523034395862,0.009566317366474106,0.008629814838827299,0.8395904253464895,1.0253768481670384,True,0
measurement_noise_0.850,measurement_noise,38029,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.37327797903819565,0.009159986867108165,0.008085572186981693,0.8370659850683457,0.9829472422806286,True,0
measurement_noise_0.850,measurement_noise,38029,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.37742816163176623,0.009467736264199549,0.008505669004240435,0.8383692622503008,1.0152563396916778,True,0
measurement_noise_0.850,measurement_noise,38030,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4554688781677313,0.009184537261686582,0.007448790078190215,0.9012554888679576,1.0238798773932352,True,0
measurement_noise_0.850,measurement_noise,38030,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.46382219699101984,0.009030765652295256,0.007698364230929844,0.8966635875199502,0.9980749522060742,True,0
measurement_noise_0.850,measurement_noise,38030,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.4569927069119062,0.009144483132943559,0.00750600589668271,0.9000317718723512,1.0177717151925947,True,0
measurement_noise_0.850,measurement_noise,38031,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4038175464113824,0.00976821703272773,0.007794623907416809,0.8482346844379116,0.8720922281341528,True,0
measurement_noise_0.850,measurement_noise,38031,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.38665055213089844,0.009362101024313473,0.006688539753952338,0.836725098496872,0.8376209348100914,True,0
measurement_noise_0.850,measurement_noise,38031,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.39943425722469983,0.009665719114070236,0.007520495640287894,0.8454285176396557,0.8636294406732367,True,0
measurement_noise_0.850,measurement_noise,38032,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.5607082209265218,0.010030876814017466,0.014209931959668798,0.8638634865108877,1.1168289059006955,True,0
measurement_noise_0.850,measurement_noise,38032,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.5569514722085307,0.00958294537945529,0.01422643180224381,0.8614652043170523,1.0764777230744198,True,0
measurement_noise_0.850,measurement_noise,38032,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.5593869236626617,0.009924011778762128,0.014201745306146374,0.8631143985602812,1.1076097627876174,True,0
measurement_noise_0.850,measurement_noise,38033,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.42109134720031344,0.00921262762943503,0.0006757066414428969,0.8862993846006597,0.9519994745561156,True,0
measurement_noise_0.850,measurement_noise,38033,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4268566197668808,0.008672232563799405,0.0007005876214836171,0.8819476836131451,0.9001266499689594,True,0
measurement_noise_0.850,measurement_noise,38033,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.42185994005562216,0.009076855018375136,0.0006904380344073813,0.8854079452787831,0.9398454251473973,True,0
measurement_noise_0.850,measurement_noise,38034,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.5134487192710624,0.009375843674585336,0.008988587197307663,0.8317922906794981,0.9319543129632502,True,0
measurement_noise_0.850,measurement_noise,38034,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.5164025698087717,0.00895603106285854,0.00839842276538283,0.8313212146818064,0.884408958833674,True,0
measurement_noise_0.850,measurement_noise,38034,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.5137384068577953,0.009271435135932737,0.008840428501092568,0.8314945567539208,0.9207602397472828,True,0
measurement_noise_0.850,measurement_noise,38035,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.46641902623683484,0.00960444779536175,0.010201093272401818,0.8323148786912318,0.7509867524287853,True,0
measurement_noise_0.850,measurement_noise,38035,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4667601687869238,0.009097608085322154,0.00917954610087135,0.8217391037409283,0.7071465194985223,True,0
measurement_noise_0.850,measurement_noise,38035,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.4664270312883668,0.009488637604020148,0.009963048385655537,0.8292515032135419,0.7408321263131793,True,0
measurement_noise_0.850,measurement_noise,38036,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3509649693238146,0.0058855477457449784,0.013160560829814094,0.8343498104826852,0.7983720601559128,True,0
measurement_noise_0.850,measurement_noise,38036,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3664330038420571,0.005894260402389014,0.012571750017950523,0.8312709511852753,0.7794824180826904,True,0
measurement_noise_0.850,measurement_noise,38036,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.35441885775189375,0.005888915380756961,0.013026883294271596,0.8335795414396671,0.794111871106455,True,0
measurement_noise_0.850,measurement_noise,38037,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4298487778267574,0.009468322696279315,0.005820115651273494,0.8683760751097022,1.1565957117586818,True,0
measurement_noise_0.850,measurement_noise,38037,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4398517738813123,0.009240890973594306,0.005954792581860047,0.8670935221704522,1.1087778384107778,True,0
measurement_noise_0.850,measurement_noise,38037,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.43201426720945824,0.009414900511576391,0.005861318243916336,0.8681254865758209,1.1455413732611892,True,0
measurement_noise_0.850,measurement_noise,38038,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.32737882920870703,0.007382193015239182,0.00044104277001977277,0.9001146509323958,0.8709932195216501,True,0
measurement_noise_0.850,measurement_noise,38038,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3294413408785327,0.00711167097311119,2.575948015037799e-05,0.8907425912539253,0.8355874807032976,True,0
measurement_noise_0.850,measurement_noise,38038,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.32749330172947105,0.007316128930227739,0.00033684908716546946,0.8979654799790617,0.8624802933426648,True,0
measurement_noise_0.850,measurement_noise,38039,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4344072250485418,0.009100940830319173,0.00729348577359612,0.826233944809586,1.020487736887177,True,0
measurement_noise_0.850,measurement_noise,38039,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4246479680897984,0.008558970179195567,0.007580084467724624,0.8155255812468709,0.9820464342484609,True,0
