model,held_out_seed,test_rows,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
local_mean_error_only,44053,270,13,257,0.6475606105956301,0.38461538461538464,0.17857142857142858,0.9105058365758755,0.8240047889853338
local_mean_error_only,44054,270,14,256,0.6077008928571428,0.2857142857142857,0.18181818181818182,0.9296875,0.8311941964285714
local_mean_error_only,44055,270,11,259,0.6035451035451036,0.2727272727272727,0.15,0.9343629343629344,0.7855387855387855
local_mean_error_only,44056,267,28,239,0.6672893006575016,0.4642857142857143,0.29545454545454547,0.8702928870292888,0.7456664674237896
local_mean_error_only,44057,261,32,229,0.5867221615720524,0.34375,0.22,0.8296943231441049,0.7008051310043668
local_mean_error_only,44058,264,40,224,0.596875,0.475,0.23170731707317074,0.71875,0.6768415178571429
local_mean_error_only,44059,261,32,229,0.7145878820960698,0.65625,0.2876712328767123,0.7729257641921398,0.8192549126637555
local_mean_error_only,44060,270,20,250,0.579,0.65,0.09558823529411764,0.508,0.6183
local_mean_error_only,44061,261,4,257,0.44163424124513617,0.0,0.0,0.8832684824902723,0.6191634241245136
local_mean_error_only,44062,261,7,254,0.7404386951631046,0.5714285714285714,0.14814814814814814,0.9094488188976378,0.8661417322834646
local_mean_error_only,44063,258,9,249,0.6880856760374833,0.4444444444444444,0.19047619047619047,0.9317269076305221,0.8703703703703705
local_mean_error_only,44064,255,10,245,0.639795918367347,0.3,0.375,0.9795918367346939,0.8557142857142858
local_mean_error_only,44065,255,7,248,0.6267281105990783,0.2857142857142857,0.2,0.967741935483871,0.8116359447004609
local_mean_error_only,44066,252,8,244,0.6127049180327868,0.25,0.25,0.9754098360655737,0.9106045081967213
local_mean_error_only,44067,255,10,245,0.7336734693877551,0.5,0.38461538461538464,0.9673469387755103,0.9006122448979591
local_mean_error_only,44068,252,11,241,0.6693700490380988,0.36363636363636365,0.4,0.975103734439834,0.8979630328178047
local_mean_error_only,44069,234,13,221,0.5904977375565611,0.3076923076923077,0.125,0.8733031674208145,0.7894187260703097
local_mean_error_only,44070,240,11,229,0.6617705438666137,0.45454545454545453,0.14285714285714285,0.868995633187773,0.8231441048034934
local_underestimate_fraction_only,44001,228,46,182,0.5937649307214524,0.43478260869565216,0.3076923076923077,0.7527472527472527,0.6048733874820831
local_underestimate_fraction_only,44002,228,38,190,0.5947368421052631,0.3684210526315789,0.2916666666666667,0.8210526315789474,0.6483379501385041
local_underestimate_fraction_only,44003,228,50,178,0.6260674157303371,0.46,0.38333333333333336,0.7921348314606742,0.6770786516853933
local_underestimate_fraction_only,44004,231,55,176,0.5732954545454545,0.43636363636363634,0.32,0.7102272727272727,0.625568181818182
local_underestimate_fraction_only,44005,228,56,172,0.551702657807309,0.44642857142857145,0.2976190476190476,0.6569767441860465,0.6143064784053156
local_underestimate_fraction_only,44006,237,60,177,0.5415254237288136,0.43333333333333335,0.29545454545454547,0.6497175141242938,0.553954802259887
local_underestimate_fraction_only,44007,237,67,170,0.5976294995610184,0.47761194029850745,0.4,0.7176470588235294,0.6507901668129938
local_underestimate_fraction_only,44008,234,71,163,0.6562689017540828,0.5211267605633803,0.5211267605633803,0.7914110429447853,0.6901840490797546
local_underestimate_fraction_only,44009,237,60,177,0.6716101694915254,0.75,0.38461538461538464,0.5932203389830508,0.7128060263653484
local_underestimate_fraction_only,44010,228,63,165,0.5972582972582973,0.746031746031746,0.34057971014492755,0.4484848484848485,0.6846079846079847
local_underestimate_fraction_only,44011,228,56,172,0.5554401993355482,0.7678571428571429,0.27564102564102566,0.3430232558139535,0.6762873754152824
local_underestimate_fraction_only,44012,237,52,185,0.551923076923077,0.9038461538461539,0.24102564102564103,0.2,0.682952182952183
