bootstrap,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy
44,0.8057971014492754,0.6900349180768197,0.32514619883040935,0.9504254532001479,0.3874915023793338,0.7479160097630475
45,0.8275372604684174,0.6882400430570506,0.3347688774045363,0.9546472564389697,0.3939599592806244,0.7578886517627339
46,0.8159509202453987,0.6836652314316469,0.3115666178623719,0.9548956962976884,0.39091117216117216,0.7498080758385228
47,0.8183254344391785,0.6910339256865913,0.3110177123986791,0.9571135558456088,0.3831377961812744,0.7546796800628849
48,0.8085694540428473,0.6889997303855486,0.3364969801553063,0.9485894580549369,0.3922165820642978,0.748784592214198
49,0.8089887640449438,0.6880272108843537,0.32018974206937445,0.9519954819277109,0.38837075417386296,0.7485079874646487
50,0.822066822066822,0.6819769003491808,0.30881494454173963,0.9568494441303939,0.3923050498110615,0.7520218612080014
51,0.7898001378359751,0.6900226455308379,0.3299740858047797,0.9443938012762079,0.3876981469077919,0.7399113916834066
52,0.8054187192118226,0.6817212896349587,0.2910979228486647,0.9557340306313037,0.3862906923429619,0.7435700044233906
53,0.7932628797886394,0.6906790945406125,0.34080590238365494,0.9430909090909091,0.3905141843971631,0.741970987164626
54,0.8097412480974124,0.6917282936181868,0.32096530920060334,0.9528390869647236,0.38474930362116994,0.7507347708577996
55,0.8041158536585366,0.6875082617316589,0.30856975723895874,0.9529131550018322,0.3851526416582179,0.7458120576950977
56,0.7994486560992419,0.6870757353919872,0.33039020222158927,0.9466348798826334,0.39167782240071397,0.7432621957456145
57,0.8170180722891566,0.6836015427583455,0.3132217090069284,0.9548578859372098,0.391545156550243,0.7503098075237511
58,0.8415466262319939,0.6811960132890366,0.3163294385864919,0.9608247422680413,0.39676616915422885,0.7613713197605152
59,0.8056768558951966,0.6830843762616068,0.3197573656845754,0.9500280741156654,0.3931856899488927,0.7443806160784017
60,0.8096264367816092,0.6860326303223239,0.32255294791070405,0.9512598859665257,0.3912215877281379,0.7478295335519665
61,0.8327192336035372,0.6841895129092361,0.3225806451612903,0.9577123695976155,0.3948822004283621,0.7584543732563866
62,0.8273491214667685,0.6787494946772672,0.31237381021055666,0.9570587117613528,0.39713631156930124,0.7530493080720179
63,0.7948316366483946,0.6884502534009069,0.30289465831095197,0.9516961651917404,0.38188034188034187,0.7416409450246508
64,0.8272087568412823,0.6801391862955032,0.3068445475638051,0.958325476145578,0.3940121129013827,0.7536739715683927
65,0.8110236220472441,0.6867256637168142,0.3299359347699476,0.9502637528259231,0.39281628917867767,0.7488746428820292
66,0.8406504065040651,0.6814607490337199,0.3019859813084112,0.9630815596157468,0.3920760334363907,0.7610555777688925
67,0.8238304093567251,0.6843393148450244,0.32676138011017686,0.9543127962085308,0.395346171480972,0.7540848621008748
68,0.8153117600631413,0.6880096243817672,0.3068013068013068,0.9565136591711578,0.38488797439414724,0.7516606922224542
69,0.8074534161490683,0.686242523110386,0.3364002300172513,0.9476253050497466,0.3950028392958546,0.7468479696297272
70,0.8083333333333333,0.686085442614169,0.3128114922310173,0.9529389880952381,0.3881870945715261,0.7472093879737511
71,0.8256658595641646,0.6815227483751161,0.2987733644859813,0.9596563317146058,0.3900660742766006,0.7535943039696403
72,0.8195050946142649,0.6819632881085395,0.32015922661359114,0.9538604651162791,0.39552406657669814,0.7507341913614022
73,0.81953125,0.6848909237813089,0.3095308350545884,0.9565544479969907,0.3892717665977487,0.7522110868906544
74,0.8364591147786947,0.6824778285407148,0.32058654399079933,0.958844629035303,0.39635327635327633,0.7594684716597048
75,0.8293620292083013,0.6863478493187283,0.3148526407936971,0.9585820895522388,0.39000796631387274,0.7578549392635148
76,0.818048422597212,0.6819514796054386,0.3184804341616681,0.9537658463832961,0.3949238578680203,0.7499999511013253
77,0.8111111111111111,0.6880204136449101,0.30553064275037367,0.9556052975191196,0.38421778084079944,0.7495657623780105
78,0.8169642857142857,0.6828582898434363,0.3166089965397924,0.9540100953449243,0.3933310649880912,0.749911287778861
79,0.8333333333333334,0.6836158192090396,0.29305680793507666,0.9630471859010802,0.3866806136680614,0.7584745762711864
80,0.8131710808876164,0.6838401274731112,0.323002558999147,0.95176492330438,0.393929211469534,0.7485056041803637
81,0.8009915014164306,0.6863889265843398,0.3285880302149913,0.9473684210526315,0.3919826898986448,0.7436902140003852
82,0.8141720896601591,0.6820901475867571,0.32015922661359114,0.9522925561537033,0.39499101527403413,0.748131118623458
83,0.813362381989833,0.6927536231884058,0.32444959443800697,0.9533998186763373,0.38496710159473624,0.7530580025891194
84,0.7880658436213992,0.689258658008658,0.3334300638421358,0.942820133234641,0.38937853107344633,0.7386622508150287
