policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,generation_seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.4230769230769231,0.14998289264286888,0.010215159140005635,0.0,0.1183636173979942,0.7564102564102564,0.20512820512820512,12,33,33,0.9599976267102565,0.4358974358974359,0.0,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,1
fixed_risk_0.010,0.2564102564102564,0.1466828677587141,0.006915134255850877,0.0,0.1183636173979942,0.8333333333333334,0.14102564102564102,6,52,20,0.6331365822579674,0.7564102564102564,0.34615384615384615,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,0
two_stage_0.10,0.3717948717948718,0.14839418939945578,0.008626455896592564,0.0,0.1183636173979942,0.8076923076923077,0.15384615384615385,8,41,29,0.8725416159876914,0.5769230769230769,0.15384615384615385,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,1
two_stage_0.25,0.32051282051282054,0.1466828677587141,0.006915134255850877,0.0,0.1183636173979942,0.8333333333333334,0.14102564102564102,6,47,25,0.7471240742797937,0.6923076923076923,0.28205128205128205,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,1
two_stage_1.00,0.20512820512820512,0.14405517022694403,0.004287436724080802,0.0,0.1183636173979942,0.8589743589743589,0.10256410256410256,2,60,16,0.29141491013207854,0.9230769230769231,0.5128205128205128,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,1
fixed_k3,0.1794871794871795,0.14314199547627196,0.003374261973408722,0.0,0.1183636173979942,0.8846153846153846,0.07692307692307693,0,64,14,0.0,1.0,0.5641025641025641,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,0
oracle,1.0,0.13976773350286323,0.0,0.0,0.0,1.0,0.0,0,0,78,0.9161168533047023,0.5256410256410257,0.5769230769230769,44008,619f4e9c06f1c211a60ef96fe77f730c4205ad71d0e6457c91163273c3811a6a,257,179,78,0
direct_loss,0.3291139240506329,0.14982509677709566,0.009414957037606697,0.0,0.09265937119519568,0.7848101265822784,0.20253164556962025,12,41,26,0.9442439126873954,0.4177215189873418,0.0,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,1
fixed_risk_0.010,0.21518987341772153,0.14624579684172426,0.005835657102235296,0.0,0.11703654052135183,0.8607594936708861,0.12658227848101267,5,57,17,0.6386746321649204,0.759493670886076,0.3670886075949367,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,1
two_stage_0.10,0.27848101265822783,0.14782526358220444,0.0074151238427154565,0.0,0.09265937119519568,0.8354430379746836,0.1518987341772152,8,49,22,0.876419282791006,0.569620253164557,0.16455696202531644,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,1
two_stage_0.25,0.25316455696202533,0.14741870027457485,0.007008560535085874,0.0,0.11703654052135183,0.8481012658227848,0.13924050632911392,6,53,20,0.7467464536859055,0.6962025316455697,0.2911392405063291,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,1
two_stage_1.00,0.20253164556962025,0.1446600147587112,0.0042498750192222256,0.0,0.11703654052135183,0.8607594936708861,0.10126582278481013,2,61,16,0.39404540017134826,0.8860759493670886,0.5189873417721519,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,1
fixed_k3,0.1518987341772152,0.14373904400612872,0.0033289042666397426,0.0,0.11703654052135183,0.8860759493670886,0.0759493670886076,0,67,12,0.0,1.0,0.5822784810126582,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,0
oracle,1.0,0.14041013973948896,0.0,0.0,0.0,1.0,0.0,0,0,79,0.9220696808142897,0.4430379746835443,0.6708860759493671,44009,e6be4b1933656da782ef26a71b9861d8f3bc2592ce6eb163377f44e08d58f03c,262,183,79,0
